index,keypoints,keypoints_len_in_chars,original_mbits,rephrased_mbits,"produced
key points","required
key points",attempt
0,"My best friend pushed me into the pool to save me from a bee. Everyone was at my cousin's wedding dressed nicely when this happened. My friend laughed and apologized, as my dress got ruined.",190,59.66,66.13,3,3,1
1,My best friend pushed me into the pool to save me from a bee. I ended up in the water during my cousin's wedding at a fancy hotel garden. My friend laughed and apologized while I was upset about my ruined dress.,211,71.88,69.29,3,3,2
2,"My best friend pushed me into the pool to save me from a bee. I fell into the pool at my cousin's wedding reception in a fancy hotel garden. Everyone laughed, but my dress was ruined, and I almost landed on the cake.",216,78.26,78.71,3,3,3
3,"My best friend pushed me into the pool during my cousin's wedding reception. She pushed me because she saw a bee near my face and tried to save me. I fell into the water after warning her to be careful with the champagne my aunt gave me. After resurfacing, my cousin said I nearly landed on the cake.",300,105.53,112.71,4,4,1
4,"My best friend pushed me into the pool. She tried to save me from a bee near my face. I fell into the water, ruining my dress during the wedding reception. My cousin joked about how close I was to landing on the cake.",217,82.08,84.9,4,4,2
5,"My best friend pushed me into the pool during my cousin's wedding reception. She did it to save me from a bee hovering near my face. I warned her to be careful as I held a glass of champagne. When I resurfaced, she laughed and apologized, and my cousin joked about how close I was to landing on the cake.",304,111.54,101.6,4,4,3
6,"My best friend pushed me into the pool. This happened during my cousin's wedding reception. She did it to save me from a bee near my face. I resurfaced gasping and she laughed and apologized. My beautiful dress was ruined, and I dried off.",239,96.78,88.71,5,5,1
7,My best friend pushed me into the pool. This was during my cousin's wedding reception at a fancy hotel garden. She did it to save me from a bee near my face. I tumbled into the water after my aunt handed me champagne. My cousin joked about me almost landing on the cake.,270,112.1,109.9,5,5,2
8,My best friend pushed me into the pool. This happened during my cousin's wedding reception. She tried to save me from a bee near my face. I warned her to be careful with my champagne. My cousin joked about me nearly landing on the cake.,236,106.83,96.58,5,5,3
9,My best friend pushed me into the pool. This happened during my cousin's wedding reception. My friend spotted a bee near my face. My aunt handed me a glass of champagne. I tumbled into the water after a little shove. My cousin joked about landing on the cake.,259,105.45,88.78,6,6,1
10,My best friend pushed me into the pool. This happened during my cousin's wedding reception. She saw a bee near my face in the hotel garden. I had a glass of champagne from my aunt at that time. She laughed and apologized after I fell in. My cousin joked about me nearly landing on the cake.,290,109.65,104.66,6,6,2
11,My best friend pushed me into the pool. This happened during my cousin's wedding reception. She spotted a bee hovering near my face. I warned her to be careful with my champagne. I tumbled into the water and gasped for air. My cousin joked about landing on the cake.,266,116.31,98.86,6,6,3
12,My best friend pushed me into the pool. This happened during my cousin's wedding reception. She pushed me to save me from a bee. I was holding a glass of champagne at the time. I fell into the water after a little shove. She laughed and apologized when I resurfaced. My cousin joked about me almost landing on the cake.,319,100.02,94.82,7,7,1
13,My best friend pushed me into the pool. This happened at my cousin's wedding reception. She pushed me to save me from a bee. My aunt had just handed me a glass of champagne. I tumbled into the water and gasped for air. My friend laughed and apologized. My cousin joked I nearly landed on the cake.,297,100.61,104.36,7,7,2
14,My best friend pushed me into the pool. This happened during my cousin's wedding reception. My friend spotted a bee near my face. She shoved me to save me from being stung. I fell into the water with a glass of champagne in hand. My friend laughed and apologized after I resurfaced. My cousin joked about how close I was to the cake.,333,100.39,94.03,7,7,3
15,My best friend pushed me into the pool. This happened during my cousin's wedding reception. She pushed me because a bee was near my face. My aunt had just handed me a glass of champagne. I warned her to be careful. I tumbled into the water because of her shove. She laughed and apologized when I resurfaced. My cousin said I nearly landed on the cake.,351,123.41,124.1,8,8,1
16,My best friend pushed me into the pool. This happened during my cousin's wedding reception. She pushed me to save me from a bee. I was holding a glass of champagne. Friends sometimes act impulsively. I fell into the water and resurfaced. She laughed and apologized. My cousin joked I almost landed on the cake.,310,108.15,106.71,8,8,2
17,My best friend pushed me into the pool. This happened during my cousin's wedding reception. A bee was hovering near my face. She tried to save me from being stung. My aunt had just handed me a glass of champagne. I warned her to be careful. I tumbled into the water with a little shove. My cousin said I almost landed on the cake.,330,132.95,111.69,8,8,3
18,My best friend pushed me into the pool. This happened at my cousin's wedding reception. My friend spotted a bee near my face. We were at a fancy hotel garden. My aunt handed me a glass of champagne. I warned my friend to be careful. She gave me a little shove into the water. My friend laughed and apologized profusely. My cousin mentioned I almost landed on the cake.,368,136.85,143.91,9,9,1
19,"My best friend pushed me into the pool. This happened during my cousin's wedding reception. She spotted a bee hovering near my face at a hotel garden. My aunt had just handed me a glass of champagne. I warned my friend to be careful. She gave me a little shove to save me from the bee. I resurfaced gasping for air and she apologized. My beautiful dress was ruined, so I had to dry off. My cousin joked about me almost landing on the cake.",439,170.57,153.63,9,9,2
20,My best friend pushed me into the pool. This happened during my cousin's wedding reception. Everyone was dressed to impress. My friend saw a bee near my face. She tried to save me from being stung. My aunt handed me a glass of champagne. She pushed me as a reflex to the bee. I resurfaced gasping and she laughed. My cousin joked I almost landed on the cake.,358,122.38,109.88,9,9,3
21,"My best friend pushed me into the pool. This happened during my cousin's wedding reception. Everyone was dressed to impress. My friend spotted a bee near my face. We were at a fancy hotel garden. My aunt had just handed me a glass of champagne. I warned my friend to be careful. My friend gave me a little shove. I surfaced gasping for air, and she laughed and apologized. My cousin said I almost landed on the cake.",416,161.5,154.5,10,10,1
22,My best friend pushed me into the pool. This happened at my cousin's wedding reception. Everyone was dressed to impress. She saw a bee hovering near my face. She tried to save me from being stung. My aunt handed me a glass of champagne. My friend didn't think things through. I tumbled into the water with her shove. She laughed and apologized profusely. My cousin said I almost landed on the cake.,398,141.76,131.61,10,10,2
23,My best friend pushed me into the pool. This happened during my cousin's wedding reception. Everyone was dressed to impress. A bee was hovering near my face. My friend tried to save me from being stung. I was holding a glass of champagne. My friend gave me a little shove. I tumbled into the water. My friend laughed and apologized. My cousin said I almost landed on the cake.,376,117.55,106.51,10,10,3
24,My best friend pushed me into the pool. This happened at my cousin's wedding reception. Everyone was dressed to impress. She spotted a bee near my face. This was at a fancy hotel garden. My aunt had just handed me champagne. I warned her to be careful. She gave me a little shove. I tumbled into the water. She started laughing and apologized. My cousin joked about the cake.,375,145.98,143.47,11,11,1
25,My best friend pushed me into the pool. This happened at my cousin's wedding reception. Everyone was dressed to impress at the wedding. She spotted a bee hovering near my face. She tried to save me from being stung by the bee. My aunt had just handed me a glass of champagne. I warned her to be careful with the glass. She gave me a little shove into the pool. She laughed and apologized after I resurfaced. My beautiful dress was ruined by the water. My cousin joked I almost landed on the cake.,496,158.36,160.84,11,11,2
26,"My best friend pushed me into the pool. This happened during my cousin's wedding reception. Everyone was dressed to impress. She spotted a bee near my face. She tried to save me from being stung. I was at a fancy hotel garden. My aunt had just given me champagne. I warned her to be careful. She shoved me, and I fell in the water. She laughed and apologized profusely. My cousin said I almost landed on the cake.",413,168.53,158.53,11,11,3
27,My best friend pushed me into the pool. This happened during my cousin's wedding reception. Everyone was dressed to impress. She spotted a bee near my face. This was at a fancy hotel garden. She tried to save me from being stung. My aunt had just handed me champagne. I warned her to be careful. She gave me a little shove. I resurfaced gasping for air. She started laughing and apologized. My cousin said I almost hit the cake.,428,186.56,171.52,12,12,1
28,My best friend pushed me into the pool. This happened during my cousin's wedding reception. Everyone was dressed to impress. She spotted a bee near my face. We were at a fancy hotel garden. My aunt handed me a glass of champagne. I warned her to be careful. She gave me a little shove. I tumbled into the water. I resurfaced gasping for air. She started laughing and apologized. My cousin joked about the cake.,410,158.95,144.31,12,12,2
29,"My best friend pushed me into the pool. This happened at my cousin's wedding reception. Everyone was dressed to impress. A bee was hovering near my face. My friend tried to save me from the bee. My aunt handed me a glass of champagne. I warned my friend to be careful. My friend did not think things through. She pushed me, and I fell into the water. I gasped for air and resurfaced. My friend laughed and apologized. My cousin noted I nearly landed on the cake.",462,144.67,142.54,12,12,3
30,"My best friend pushed me into the pool. This happened at my cousin's wedding reception. Everyone was dressed to impress during the reception. A bee was hovering near my face. We were at a fancy hotel garden. She tried to save me from being stung. My aunt had handed me a glass of champagne. I warned my friend to be careful. Friends don't always think things through. My friend shoved me, and I fell into the pool. I resurfaced, gasping for air. She laughed and apologized profusely. My cousin commented on how close I was to landing on the cake.",546,190.91,181.1,13,13,1
31,"My best friend pushed me into the pool. This happened during my cousin's wedding reception. Everyone was dressed to impress. My friend spotted a bee near my face. We were at a fancy hotel garden. She tried to save me from being stung. My aunt had just handed me a glass of champagne. I warned my friend to be careful. Friends don't always think things through. She gave me a little shove. I tumbled into the water. When I resurfaced, she started laughing and apologized. My cousin said I nearly landed on the cake.",514,207.78,189.01,13,13,2
32,"My best friend pushed me into the pool. This happened during my cousin's wedding reception. Everyone was dressed to impress. She spotted a bee hovering near my face. The location was a fancy hotel garden. She tried to save me from being stung. My aunt had just handed me a glass of champagne. I warned her to be careful. Friends don't always think things through. She gave me a little shove. I resurfaced, gasping for air. She started laughing and apologized. My cousin said I almost landed on the cake.",503,212.99,189.67,13,13,3
33,My best friend pushed me into the pool. This happened at my cousin's wedding reception. Everyone was dressed to impress there. She spotted a bee near my face. This was at a fancy hotel garden. She tried to save me from being stung. My aunt had just handed me a glass of champagne. I warned her to be careful. Friends don't always think things through. She gave me a little shove. I tumbled into the water. I resurfaced gasping for air. She laughed and apologized profusely. My cousin said I almost landed on the cake.,517,212.9,196.92,14,14,1
34,My best friend pushed me into the pool. This happened at my cousin's wedding reception. Everyone was dressed to impress. My friend spotted a bee near my face. We were at a fancy hotel garden. She tried to save me from being stung. My aunt had just handed me champagne. I warned her to be careful. Friends don't always think things through. She gave me a little shove. I tumbled into the water. She started laughing and apologized. My beautiful dress was ruined. My cousin joked about almost landing on the cake.,511,201.55,198.01,14,14,2
35,"My best friend pushed me into the pool. This happened at my cousin's wedding reception. Everyone was dressed to impress. She spotted a bee near my face. We were at a fancy hotel garden. She tried to save me from being stung. My aunt had just given me champagne. I warned her to be careful. Friends don't always think things through. She gave me a little shove. I tumbled into the water. I resurfaced, gasping for air. She laughed and apologized profusely. My cousin said I almost landed on the cake.",499,212.75,194.53,14,14,3
36,"My best friend pushed me into the pool. This happened at my cousin's wedding reception. Everyone was dressed to impress. My friend saw a bee near my face. We were in a fancy hotel garden. She tried to save me from being stung. My aunt gave me a glass of champagne. I warned her to be careful. Friends don't always think things through. She gave me a little shove into the water. I resurfaced, gasping for air. She started laughing and apologizing. My beautiful dress was ruined. I needed to get out and dry off. My cousin said I almost landed on the cake.",555,222.39,214.74,15,15,1
37,My best friend pushed me into the pool. This happened during my cousin's wedding reception. Everyone was dressed to impress. She spotted a bee hovering near my face. The reception was at a fancy hotel garden. She tried to save me from being stung. My aunt had handed me a glass of champagne. I warned her to be careful. Friends don't always think things through. She gave me a little shove. I tumbled into the water. I resurfaced gasping for air. She apologized profusely while laughing. My beautiful dress was ruined. My cousin joked about me almost landing on the cake.,571,229.33,203.09,15,15,2
38,My best friend pushed me into the pool. This happened at my cousin's wedding reception. Everyone was dressed to impress. A bee hovered near my face. We were at a fancy hotel garden. She tried to save me from being stung. My aunt had just handed me champagne. I warned her to be careful. Friends don't always think things through. She gave me a little shove. I tumbled into the water. I gasped for air when I resurfaced. She laughed and apologized profusely. My beautiful dress was ruined. My cousin joked about me landing on the cake.,534,213.75,189.76,15,15,3
