recall_id,clause_id,clause_text,rephrased_text
571a3f73c97ad400083a2ea0,1,A woman’s best friend pushed her into the pool,Her closest companion shoved her into the swimming pool
571a3f73c97ad400083a2ea0,2,while she was holding a glass of champagne,as she clutched a flute of champagne
571a3f73c97ad400083a2ea0,3,because she said a bee was hovering around her face.,claiming that a bee was buzzing near her visage.
571a3f73c97ad400083a2ea0,4,When she got out,Upon emerging from the water
571a3f73c97ad400083a2ea0,5,with her fancy dress all ruined,with her elegant gown completely spoiled
571a3f73c97ad400083a2ea0,6,her friend laughed hysterically,her companion burst into uncontrollable laughter
571a3f73c97ad400083a2ea0,7,and said a few more inches,and remarked that a few inches more
571a3f73c97ad400083a2ea0,8,and she would have ruined the wedding cake.,and the wedding cake would have been destroyed.
575ef812a2ce6e000666f239,1,"Person pushed into the pool by a friend during her aunt's wedding reception,","Individual was shoved into the swimming pool by a companion at her aunt's marriage celebration,"
575ef812a2ce6e000666f239,2,friend saying something about a bee.,companion mentioned something regarding a bee.
575ef812a2ce6e000666f239,3,Person climbs out of the pool in her wet dress to dry off.,Individual emerges from the pool in her drenched gown to air dry.
575ef812a2ce6e000666f239,4,Relative makes a joke about another few inches and landing on the cake.,Family member quips about a little more distance and she would have ended up on the dessert.
589f019c69733b0001af54df,1,My best friend pushed me in to the pool.,My closest companion nudged me into the swimming area.
589f019c69733b0001af54df,2,This happened during a friends wedding reception.,It occurred at a buddy's marriage celebration.
589f019c69733b0001af54df,3,I had just been given a glass of champagne.,I had recently received a flute of sparkling wine.
589f019c69733b0001af54df,4,A bee came along.,A buzzing insect approached.
589f019c69733b0001af54df,5,She tried to prevent me from getting stung.,Her intention was to keep me from being bitten.
589f019c69733b0001af54df,6,She just gave me a little push.,It was merely a gentle shove she provided.
589f019c69733b0001af54df,7,I fell into the pool.,I toppled over into the water.
589f019c69733b0001af54df,8,I ruined my new dress.,My brand-new outfit was spoiled.
589f019c69733b0001af54df,9,"My aunt said, ""just a few more inches and I would have fallen on the cake.""","My relative remarked, ""a mere couple of inches more and the dessert would have been my landing spot."""
58a89e40e6afe00001d36058,1,At a wedding,During a marriage ceremony
58a89e40e6afe00001d36058,2,my friend gave me a small shove,my companion nudged me slightly
58a89e40e6afe00001d36058,3,to protect me from a bee.,as a defense against a bee.
58a89e40e6afe00001d36058,4,Unfortunately,Regrettably
58a89e40e6afe00001d36058,5,I then fell into the swimming pool,this resulted in me tumbling into the pool
58a89e40e6afe00001d36058,6,fully clothed in my smart dress.,while dressed in my elegant attire.
58a89e40e6afe00001d36058,7,My cousin said,My relative remarked
58a89e40e6afe00001d36058,8,I just missed flattening the wedding cake.,I narrowly avoided crushing the bridal cake.
596e5141fe061d00011e3984,1,My best friend pushed into the pool.,My closest companion shoved me into the pool.
596e5141fe061d00011e3984,2,"I was at my cousins wedding reception,","It occurred during my cousin's wedding celebration,"
596e5141fe061d00011e3984,3,everyone was dressed to impress.,where all attendees were garbed in their finest.
596e5141fe061d00011e3984,4,The reason was she saw a bee hovering above my head.,She did it because she noticed a bee floating over me.
596e5141fe061d00011e3984,5,My aunt had passed me a glass of champagne.,I had just received a flute of champagne from my aunt.
596e5141fe061d00011e3984,6,Best friends dont always think things through,Best friends don't always consider the consequences
596e5141fe061d00011e3984,7,and she gave me a little shove.,and she nudged me gently.
596e5141fe061d00011e3984,8,"My cousin said ""just a few inches further","My cousin remarked, ""a bit more to the side"
596e5141fe061d00011e3984,9,"and you would have landed on the cake.""","and you would've crashed into the cake."""
599dacb43c7d1a0001deef97,1,a girls friend,a female companion
599dacb43c7d1a0001deef97,2,pushed her,nudged her
599dacb43c7d1a0001deef97,3,into a pool,towards the swimming area
599dacb43c7d1a0001deef97,4,at a wedding reception,during a matrimonial celebration
599dacb43c7d1a0001deef97,5,in a fancy hotel.,inside an upscale establishment.
5a3ee0d22f91ec0001dca78d,1,My best friend pushed me into the swimming pool,My closest companion shoved me into the pool
5a3ee0d22f91ec0001dca78d,2,at my cousins wedding.,during my cousin's nuptials.
5a3ee0d22f91ec0001dca78d,3,She was trying to avoid me being stung,She aimed to prevent me from getting stung
5a3ee0d22f91ec0001dca78d,4,when a bee landed near my face.,as a bee approached my face.
5a3ee0d22f91ec0001dca78d,5,My Aunt said that's what best friends do.,My Aunt remarked that this is typical of best friends.
5a3ee0d22f91ec0001dca78d,6,When I resurfaced,Upon emerging
5a3ee0d22f91ec0001dca78d,7,my friend burst into laughter.,my buddy erupted with giggles.
5a3ee0d22f91ec0001dca78d,8,My cousin said,My cousin remarked
5a3ee0d22f91ec0001dca78d,9,if I had a fallen a little further,had I tumbled slightly more
5a3ee0d22f91ec0001dca78d,10,a few inches,just a few inches
5a3ee0d22f91ec0001dca78d,11,it would be been on the cake.,I would have landed on the cake.
5a775b638fe2dc00010579b2,1,At a wedding reception,During a marriage celebration
5a775b638fe2dc00010579b2,2,and friend pushed me into a pond,a companion nudged me into a body of water
5a775b638fe2dc00010579b2,3,because a bee was near my face.,due to the presence of a bee close to my visage.
5a775b638fe2dc00010579b2,4,Was only a little push.,It was merely a slight shove.
5a775b638fe2dc00010579b2,5,I had just been handed a glass of champagne by my aunt.,I had only just received a flute of bubbly from my relative.
5a775b638fe2dc00010579b2,6,My friend was laughing at me,My companion found humor in my situation
5a775b638fe2dc00010579b2,7,as I got out to dry,while I emerged to become dry
5a775b638fe2dc00010579b2,8,and said a little further,and remarked with a bit more distance
5a775b638fe2dc00010579b2,9,and you'd have landed in the cake.,I would have ended up in the dessert.
5a7c5a98eea3d300016e1d1e,1,girl was pushed into the pool,The girl was shoved into the swimming area
5a7c5a98eea3d300016e1d1e,2,at her cousins wedding,during her cousin's marriage ceremony
5a7c5a98eea3d300016e1d1e,3,by her best friend,by her closest companion
5a7c5a98eea3d300016e1d1e,4,because there was a bee next to her.,due to a bee being near her.
5a7c5a98eea3d300016e1d1e,5,she apologised,She expressed regret
5a7c5a98eea3d300016e1d1e,6,but the dress was ruined.,yet the gown was spoiled.
5a9bec4c6475f900019ffb56,1,My best friend pushed me into the pool,My closest companion shoved me into the swimming pool
5a9bec4c6475f900019ffb56,2,at my brother's wedding.,during my sibling's nuptials.
5a9bec4c6475f900019ffb56,3,This was after my aunt had given me a glass of champagne.,This occurred subsequent to my aunt presenting me with a flute of champagne.
5a9bec4c6475f900019ffb56,4,"My friend, who had not thought it through,","My buddy, who hadn't fully considered the consequences,"
5a9bec4c6475f900019ffb56,5,was trying to save me from a bee.,attempted to protect me from a bee.
5a9bec4c6475f900019ffb56,6,My dress was ruined,My outfit was completely spoiled
5a9bec4c6475f900019ffb56,7,"and as I got out and dried myself off,","and while I emerged and patted myself dry,"
5a9bec4c6475f900019ffb56,8,she laughed,she burst into laughter
5a9bec4c6475f900019ffb56,9,and apologised.,and offered her regrets.
5a9bec4c6475f900019ffb56,10,If I had landed a foot more,Had I been displaced by just one more foot
5a9bec4c6475f900019ffb56,11,I would have not the cake.,the cake would have been untouched.
5af29f9c0eca060001b153bd,1,A girl's best friend pushed her into the pool,Her closest companion nudged her into the swimming area
5af29f9c0eca060001b153bd,2,at her cousin's wedding reception,during the celebration of her relative's nuptials
5af29f9c0eca060001b153bd,3,where everyone was dressed to impress.,where all were attired in their finest.
5af29f9c0eca060001b153bd,4,The reason she pushed her into the pool was because she saw a bee flying near her head,She was propelled into the water due to her friend noticing a bee hovering around her head
5af29f9c0eca060001b153bd,5,and didn't want her to get stung.,and wishing to prevent a sting.
5af29f9c0eca060001b153bd,6,And so she shoved her into the pool.,"Thus, she was thrust into the water."
5af29f9c0eca060001b153bd,7,The girl's Aunt has also just handed her a glass of champagne.,"Just moments before, the girl had received a flute of champagne from her aunt."
5af29f9c0eca060001b153bd,8,"When the girl came to the surface,","As the girl emerged back to the surface,"
5af29f9c0eca060001b153bd,9,her friend just started laughing.,her companion couldn't help but burst into giggles.
5af29f9c0eca060001b153bd,10,Her dress was ruined.,Her gown was completely spoiled.
5af29f9c0eca060001b153bd,11,She said a few inches further,She remarked that a small shift in position
5af29f9c0eca060001b153bd,12,and she would have landed in the cake!,and she would have crashed into the dessert!
5c129cc7ba99dc0001f0b628,1,at cousin's wedding posh hotel.,"At my cousin's nuptials, a swanky hotel served as the venue."
5c129cc7ba99dc0001f0b628,2,Got handed a glass of champagne by aunt.,An aunt presented me with a flute of bubbly.
5c129cc7ba99dc0001f0b628,3,Best friend sees a bee close to her face.,My best friend noticed a bee hovering near her visage.
5c129cc7ba99dc0001f0b628,4,gives her a gentle tap.,She delivered a soft nudge.
5c129cc7ba99dc0001f0b628,5,pushed her into the pool.,This caused her to topple into the swimming area.
5c129cc7ba99dc0001f0b628,6,Soaked.,Drenched from head to toe.
5c129cc7ba99dc0001f0b628,7,lovely dress ruined.,Her exquisite gown was spoiled.
5c129cc7ba99dc0001f0b628,8,friend laughing.,My friend couldn't help but chuckle.
5c129cc7ba99dc0001f0b628,9,had to get out of the wet dress.,I was compelled to shed the drenched attire.
5c129cc7ba99dc0001f0b628,10,cousin said.,"My cousin remarked,"
5c129cc7ba99dc0001f0b628,11,a few inches more and you'd have landed on the cake.,Just a bit further and you would've crashed into the dessert.
5c3f2e175fe5c60001ffc302,1,My best friend pushed me into the water,My closest companion shoved me into the pool
5c3f2e175fe5c60001ffc302,2,when we were at my cousins wedding.,during the time we attended my cousin's nuptials.
5c3f2e175fe5c60001ffc302,3,She saw a bee,She noticed a bee
5c3f2e175fe5c60001ffc302,4,and pushed me,and shoved me aside
5c3f2e175fe5c60001ffc302,5,to save me being stung.,to prevent me from getting stung.
5c3f2e175fe5c60001ffc302,6,My aunt had just handed me a glass of champagne.,"Just before that, my aunt had given me a flute of champagne."
5c3f2e175fe5c60001ffc302,7,I narrowly missed the wedding cake!,I barely avoided colliding with the wedding cake!
5c3f2e175fe5c60001ffc302,8,My dress was ruined.,My outfit was completely spoiled.
5c3f2e175fe5c60001ffc302,9,My friend laughed,My buddy burst into laughter
5c3f2e175fe5c60001ffc302,10,but also apologised.,yet she also offered her apologies.
5c714e3c21beb1000181bc74,1,My best friend pushed me into the pool,My closest companion shoved me into the swimming area
5c714e3c21beb1000181bc74,2,this was at my cousin wedding Reception,it occurred during my relative's nuptial celebration
5c714e3c21beb1000181bc74,3,where my aunt nearly got stung by a bee,at which point my aunt almost suffered a bee sting
5c714e3c21beb1000181bc74,4,my dress was ruined,my attire was completely spoiled
5c714e3c21beb1000181bc74,5,and my friend apologised profusely,and my buddy offered numerous apologies
5ca345b1506fca0016b358bb,1,My best friend pushed me into the pool,My closest companion nudged me into the swimming area
5ca345b1506fca0016b358bb,2,at my cousin's wedding,during my relative's nuptials
5ca345b1506fca0016b358bb,3,which was at a posh hotel.,which took place at an upscale establishment.
5ca345b1506fca0016b358bb,4,She said,She claimed
5ca345b1506fca0016b358bb,5,it was because there was a bee near my eye,it was due to a bee hovering close to my eye
5ca345b1506fca0016b358bb,6,and she didn't want me to get stung.,and her intention was to prevent a sting.
5ca345b1506fca0016b358bb,7,"I was wearing a lovely dress,","I had on a charming outfit,"
5ca345b1506fca0016b358bb,8,everyone was dressed to impress.,with everyone arrayed in their finest attire.
5ca345b1506fca0016b358bb,9,My aunt had just handed me a glass of champagne.,"Just before, my aunt had given me a flute of bubbly."
5ca345b1506fca0016b358bb,10,"When I surfaced, spluttering,","Emerging with a cough and splashes,"
5ca345b1506fca0016b358bb,11,I wanted to get out of the pool,my desire was to exit the aquatic space
5ca345b1506fca0016b358bb,12,and dry off.,and seek to become dry.
5ca345b1506fca0016b358bb,13,My friend just laughed,My buddy simply chuckled
5ca345b1506fca0016b358bb,14,and said I could have landed in the cake.,and remarked that I might have ended up in the dessert.
5cc3289b9e21e200015f0bb3,1,her friend pushed her into the swimming pool,Her companion shoved her into the pool
5cc3289b9e21e200015f0bb3,2,at her cousins wedding,during her relative's matrimonial ceremony
5cc3289b9e21e200015f0bb3,3,because of a bee.,due to a buzzing insect.
5cc3289b9e21e200015f0bb3,4,when she got out,Upon emerging
5cc3289b9e21e200015f0bb3,5,the cousin said,the relative remarked
5cc3289b9e21e200015f0bb3,6,a few inches more,just a bit further
5cc3289b9e21e200015f0bb3,7,and it would have been the cake.,and the dessert would have been ruined.
5d10fa2bbfbf0a000133594b,1,My cousin pushed me into the pool,My relative nudged me into the water
5d10fa2bbfbf0a000133594b,2,at my cousins wedding.,during my cousin's nuptials.
5d10fa2bbfbf0a000133594b,3,She pushed me in,She nudged me toward the water
5d10fa2bbfbf0a000133594b,4,as there was a bee.,because of a bee's presence.
5d10fa2bbfbf0a000133594b,5,"My auntie told me to be aware of friends,","My aunt warned me about being cautious around pals,"
5d10fa2bbfbf0a000133594b,6,as they don’t always think things through.,since they may not always consider the consequences.
5d10fa2bbfbf0a000133594b,7,Then she gave me a little shove.,"Afterwards, she playfully pushed me."
5d10fa2bbfbf0a000133594b,8,"I landed in the pool,","I ended up in the swimming area,"
5d10fa2bbfbf0a000133594b,9,then the next thing to do was get out,and the subsequent step was to climb out
5d10fa2bbfbf0a000133594b,10,"and dry off,","and seek to dry myself,"
5d10fa2bbfbf0a000133594b,11,but my beautiful dress was ruined.,yet my elegant gown was spoiled.
5d10fa2bbfbf0a000133594b,12,"My cousin started laughing,","My cousin burst into giggles,"
5d10fa2bbfbf0a000133594b,13,"and said,","and remarked,"
