recall_id,clause_id,segment_ids,fan_out,last_segment_id,clause_text
gpt4-1,1,[1],1,3,My best friend pushed me into a pool
gpt4-1,2,[2],1,3,The incident occurred at my cousin's wedding reception
gpt4-1,3,[3],1,3,Everyone was dressed formally at the time
gpt4-2,1,[1],1,7,My best friend pushed me into a pool
gpt4-2,2,[2],1,7,The incident occurred at my cousin's wedding reception
gpt4-2,3,[3],1,7,Everyone was dressed formally for the event
gpt4-2,4,"[4, 5, 7]",3,7,She acted to prevent a bee from stinging me
gpt4-3,1,[1],1,9,My best friend pushed me into a pool
gpt4-3,2,[7],1,9,to prevent a bee sting
gpt4-3,3,[2],1,9,The incident occurred at my cousin's wedding reception
gpt4-3,4,[3],1,9,Everyone at the reception was dressed formally
gpt4-3,5,[8],1,9,I was holding a glass of champagne
gpt4-3,6,"[1, 4, 5, 7]",4,9,when pushed
gpt4-4,1,"[1, 11, 12]",3,12,My best friend pushed me into a pool
gpt4-4,2,"[5, 7]",2,12,to save me from a bee
gpt4-4,3,[2],1,12,The incident occurred during my cousin's wedding reception
gpt4-4,4,[3],1,12,Everyone was dressed formally at the event
gpt4-4,5,[8],1,12,I was holding a glass of champagne
gpt4-4,6,"[11, 12]",2,12,when pushed into the water
gpt4-5,1,"[1, 11, 12]",3,15,My best friend pushed me into a pool
gpt4-5,2,"[5, 7]",2,15,to avoid a bee sting
gpt4-5,3,[2],1,15,The incident occurred at my cousin's wedding reception
gpt4-5,4,[8],1,15,I was holding a glass of champagne
gpt4-5,5,[11],1,15,when pushed
gpt4-5,6,[14],1,15,My friend laughed
gpt4-5,7,[15],1,15,and apologized
gpt4-5,8,[13],1,15,after I resurfaced
gpt4-6,1,"[1, 11]",2,18,My best friend pushed me into a pool
gpt4-6,2,"[5, 7]",2,18,to avoid a bee sting
gpt4-6,3,[2],1,18,during a wedding reception
gpt4-6,4,[12],1,18,I fell into the water
gpt4-6,5,[8],1,18,while holding a glass of champagne
gpt4-6,6,[3],1,18,and dressed elegantly
gpt4-6,7,[13],1,18,Upon resurfacing
gpt4-6,8,[14],1,18,my friend laughed
gpt4-6,9,[15],1,18,and apologized for ruining my dress
gpt4-6,10,[],0,18,My cousin humorously noted
gpt4-6,11,[18],1,18,I nearly fell onto the wedding cake
