segment_id,segment_text,p-caught
1,My best friend pushed me into the pool.,96.30%
2,"This happened during my cousin's wedding reception,",90.74%
3,where everyone was dressed to impress.,44.44%
4,"And the reason it happened,",29.63%
5,"she spotted a bee hovering near my face,",90.74%
6,- this was at a fancy hotel garden -,37.04%
7,and she tried to save me from being stung.,81.48%
8,"And my aunt had just handed me a glass of champagne,",61.11%
9,and I warned her to be careful.,16.67%
10,"'Course friends, y'know, they don't always think things through.",24.07%
11,"So that's when she gave me a little shove,",87.04%
12,and I tumbled into the water.,81.48%
13,"When I resurfaced, gasping for air,",46.30%
14,"she just started laughing,",62.96%
15,and she apologized profusely.,35.19%
16,"And... my beautiful dress was ruined,",68.52%
17,"and naturally, the first thing to do was to get out and dry off,",38.89%
18,"and my cousin just says, ""Just about a few inches more,"" she says, ""and you'd have landed on the cake.""",88.89%
