segment_id,segment_text,real_rec,gpt4o_all,gpt4,gpt4o_idxmx
1,My best friend pushed me into the pool.,90.91,100.0,90.0,100.0
2,"This happened during my cousin's wedding reception,",90.91,100.0,100.0,100.0
3,where everyone was dressed to impress.,34.55,87.18,40.0,55.56
4,"And the reason it happened,",9.09,84.62,30.0,44.44
5,"she spotted a bee hovering near my face,",85.45,94.87,100.0,77.78
6,- this was at a fancy hotel garden -,23.64,84.62,100.0,33.33
7,and she tried to save me from being stung.,52.73,82.05,80.0,66.67
8,"And my aunt had just handed me a glass of champagne,",56.36,69.23,100.0,33.33
9,and I warned her to be careful.,14.55,58.97,70.0,22.22
10,"'Course friends, y'know, they don't always think things through.",16.36,46.15,40.0,0.0
11,"So that's when she gave me a little shove,",38.18,38.46,90.0,0.0
12,and I tumbled into the water.,38.18,41.03,60.0,33.33
13,"When I resurfaced, gasping for air,",32.73,28.21,70.0,22.22
14,"she just started laughing,",56.36,28.21,70.0,44.44
15,and she apologized profusely.,29.09,15.38,60.0,33.33
16,"And... my beautiful dress was ruined,",67.27,7.69,70.0,33.33
17,"and naturally, the first thing to do was to get out and dry off,",38.18,0.0,10.0,0.0
18,"and my cousin just says, ""Just about a few inches more,"" she says, ""and you'd have landed on the cake.""",87.27,12.82,70.0,44.44
