recall_id,keypoints,attempt,summary_text,segment_ids,correlation,max_clause_id
summary_gpt4o_4_5.json,4,5,1. My best friend pushed me into the pool. 2. The push happened during my cousin's wedding reception. 3. She was trying to save me from a bee near my face. 4. My cousin mentioned I almost landed on the cake.,"[1, 11, 12, 2, 5, 7, 18]",0.8695592094060458,5
summary_gpt4o_4_2.json,4,2,"1. My best friend pushed me into the pool. 2. She tried to save me from a bee near my face. 3. I fell into the water, ruining my dress during the wedding reception. 4. My cousin joked about how close I was to landing on the cake.","[1, 11, 12, 5, 7, 2, 3, 16, 18]",0.8166797604587872,6
summary_gpt4o_5_5.json,5,5,"1. My best friend pushed me into the pool. 2. This happened at my cousin's wedding reception. 3. She pushed me to save me from a bee near my face. 4. I was holding a glass of champagne when it happened. 5. We laughed about it, but my dress was ruined.","[1, 11, 12, 2, 5, 7, 8, 14, 16]",0.7766464388676702,7
summary_gpt4o_5_4.json,5,4,1. My best friend pushed me into the pool. 2. This happened at my cousin's wedding reception in a fancy hotel garden. 3. She tried to save me from a bee hovering near my face. 4. I was holding a glass of champagne when she shoved me. 5. My cousin joked that I almost landed on the cake.,"[1, 11, 12, 2, 6, 5, 7, 8, 18]",0.752626445913,10
summary_gpt4o_3_8.json,3,8,"1. I fell into the pool at my cousin's wedding. 2. My best friend pushed me because of a bee near my face. 3. My beautiful dress was ruined, and I almost landed on the cake.","[2, 12, 1, 4, 5, 7, 11, 16, 18]",0.752626445913,9
summary_gpt4o_4_6.json,4,6,1. My best friend pushed me into the pool. 2. She was trying to save me from a bee sting. 3. I was holding a glass of champagne from my aunt. 4. My cousin joked about how close I was to the cake.,"[1, 11, 12, 5, 7, 8, 18]",0.7381672617098542,5
summary_gpt4o_5_8.json,5,8,1. My best friend pushed me into the pool. 2. This happened at my cousin's wedding reception. 3. She tried saving me from a bee near my face. 4. I resurfaced from the pool and she was laughing and apologizing. 5. My cousin mentioned I almost landed on the cake.,"[1, 11, 12, 2, 5, 7, 13, 14, 15, 18]",0.6973392095697835,8
summary_gpt4o_4_7.json,4,7,1. My best friend pushed me into the pool. 2. She was trying to save me from a bee. 3. My dress was ruined and I was gasping for air. 4. My cousin joked about me almost landing on the cake.,"[1, 11, 12, 5, 7, 13, 16, 18]",0.696444037285355,6
summary_gpt4o_5_3.json,5,3,1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception. 3. She tried to save me from a bee near my face. 4. I warned her to be careful with my champagne. 5. My cousin joked about me nearly landing on the cake.,"[1, 11, 12, 2, 5, 7, 8, 9, 18]",0.6645531384125425,6
summary_gpt4o_5_2.json,5,2,1. My best friend pushed me into the pool. 2. This was during my cousin's wedding reception at a fancy hotel garden. 3. She did it to save me from a bee near my face. 4. I tumbled into the water after my aunt handed me champagne. 5. My cousin joked about me almost landing on the cake.,"[1, 11, 12, 2, 6, 4, 5, 7, 8, 18]",0.6248302545310769,8
summary_gpt4o_3_6.json,3,6,"1. My best friend pushed me into the pool to save me from a bee. 2. This happened at my cousin's wedding reception at a fancy hotel garden. 3. I ended up in the water, and my cousin joked that I almost hit the cake.","[1, 4, 5, 7, 11, 12, 2, 6, 18]",0.6165131525032022,8
summary_gpt4o_4_1.json,4,1,"1. My best friend pushed me into the pool during my cousin's wedding reception. 2. She pushed me because she saw a bee near my face and tried to save me. 3. I fell into the water after warning her to be careful with the champagne my aunt gave me. 4. After resurfacing, my cousin said I nearly landed on the cake.","[1, 2, 5, 7, 8, 9, 11, 12, 13, 18]",0.6087171534113642,11
summary_gpt4o_3_3.json,3,3,"1. My best friend pushed me into the pool to save me from a bee. 2. I fell into the pool at my cousin's wedding reception in a fancy hotel garden. 3. Everyone laughed, but my dress was ruined, and I almost landed on the cake.","[1, 4, 5, 7, 11, 12, 2, 6, 3, 13, 14, 16, 18]",0.6008282126117139,9
summary_gpt4o_3_1.json,3,1,"1. My best friend pushed me into the pool to save me from a bee. 2. Everyone was at my cousin's wedding dressed nicely when this happened. 3. My friend laughed and apologized, as my dress got ruined.","[1, 5, 7, 11, 12, 2, 3, 14, 15, 16]",0.6006606028515079,9
summary_gpt4o_4_4.json,4,4,1. My best friend pushed me into the pool. 2. She tried to save me from a bee near my face. 3. I resurfaced and my friend was laughing and apologizing. 4. My cousin commented about almost landing on the cake.,"[1, 11, 12, 5, 7, 13, 14, 15, 18]",0.5604665022756383,6
summary_gpt4o_3_4.json,3,4,1. My best friend pushed me into the pool at my cousin's wedding reception. 2. She pushed me because she spotted a bee near my face. 3. My cousin joked that I almost landed on the cake.,"[1, 2, 4, 5, 7, 18]",0.5378488302395127,7
summary_gpt4o_3_5.json,3,5,"1. My best friend pushed me into the pool to save me from a bee. 2. I fell into the pool at my cousin's wedding while holding a glass of champagne. 3. After resurfacing, I found my dress was ruined, and my friend was laughing and apologizing.","[1, 4, 5, 7, 11, 2, 8, 12, 13, 14, 15, 16]",0.5067102137519619,10
summary_gpt4o_5_7.json,5,7,"1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception. 3. She pushed me because a bee was near my face. 4. I tumbled into the water with a glass of champagne. 5. I surfaced, gasping for air, and she apologized while laughing.","[1, 2, 5, 7, 8, 12, 13, 14, 15]",0.456379866138734,7
summary_gpt4o_5_1.json,5,1,"1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception. 3. She did it to save me from a bee near my face. 4. I resurfaced gasping and she laughed and apologized. 5. My beautiful dress was ruined, and I dried off.","[1, 11, 12, 2, 6, 5, 7, 13, 14, 15, 16, 17]",0.43877141414276033,8
summary_gpt4o_4_8.json,4,8,1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception at a fancy hotel garden. 3. My friend was trying to save me from a bee near my face. 4. I surfaced to laughter and apologies from my friend and realized my dress was ruined.,"[1, 11, 12, 2, 3, 6, 4, 5, 7, 13, 14, 15, 16]",0.34162794237756955,8
summary_gpt4o_4_3.json,4,3,"1. My best friend pushed me into the pool during my cousin's wedding reception. 2. She did it to save me from a bee hovering near my face. 3. I warned her to be careful as I held a glass of champagne. 4. When I resurfaced, she laughed and apologized, and my cousin joked about how close I was to landing on the cake.","[1, 2, 5, 7, 8, 9, 13, 14, 15, 18]",0.3025682321368252,11
summary_gpt4o_3_7.json,3,7,"1. My best friend pushed me into the pool at my cousin's wedding reception. 2. She did it because she saw a bee near my face and wanted to save me from being stung. 3. I resurfaced gasping, she laughed and apologized while my dress was ruined.","[1, 2, 4, 5, 7, 13, 14, 15, 16]",0.2642199225013723,8
summary_gpt4o_5_6.json,5,6,"1. My best friend pushed me into the pool. 2. This happened during my cousin's wedding reception. 3. She pushed me because she spotted a bee near my face. 4. I warned her to be careful before she shoved me. 5. After I fell, my friend laughed and apologized.","[1, 2, 5, 7, 9, 14, 15]",0.23723546111812377,6
summary_gpt4o_3_2.json,3,2,1. My best friend pushed me into the pool to save me from a bee. 2. I ended up in the water during my cousin's wedding at a fancy hotel garden. 3. My friend laughed and apologized while I was upset about my ruined dress.,"[1, 4, 5, 7, 2, 3, 6, 14, 15, 16]",0.15755032205941188,8
