segment_id,segment_text,p-caught
1,"Back in the days when I was a rookie in the police force, the Chief was a veteran.",95.00%
2,He had caught a notorious criminal –,21.00%
3,or had been awarded for bravery.,28.00%
4,But he had – a young daughter.,96.00%
5,And in those days I was a fitness enthusiast.,67.00%
6,And it seemed she was trying to impress me.,95.00%
7,I never observed it.,77.00%
8,Truth is I wasn't very fond of her because she was –,76.00%
9,She was a charming girl until she opened her mouth.,98.00%
10,She was a chatterbox.,100.00%
11,"Goodness, she could talk.",100.00%
12,Then she left a message one day saying she was going to run away because he was always scolding her about me.,99.00%
13,He arrived at my apartment.,99.00%
14,Big intimidating look on his face.,99.00%
15,I managed to calm him down.,99.00%
16,and proposed “Well we'll search for her,97.00%
17,and if we can't locate her well you can – do whatever you think is right.”,98.00%
18,I was strategizing.,39.00%
19,So he accepted my offer.,42.00%
20,And we went to where they found her scarf – near a park.,99.00%
21,and we traced down a little more,70.00%
22,and we couldn't locate her.,99.00%
23,And returned,80.00%
24,– it was a police station –,97.00%
25,she was sitting on a chair with a book in her hands.,99.00%
26,She hadn't run away.,84.00%
27,But – nevertheless – that resolved the issue for that day.,11.00%
28,"But that evening the deputy, Frank Mitchell, said “You better transfer and leave because that old man never forgets anything once he gets it into his mind.”",99.00%
29,And I did.,97.00%
30,I transferred.,98.00%
31,and left.,91.00%
32,That was the end of my rookie year.,81.00%
