segment_id,segment_text,p-caught
1,About a month ago see we were going to a church league softball game...,100.00%
2,They'd had the games all scheduled for the diamond at Homestead High School.,100.00%
3,You know where that's at?,0.00%
4,"Well we're going up Twenty­-four,",85.15%
5,"and getting ready to turn there, at Ranch Eggs,",69.31%
6,"and I was slowing down,",10.89%
7,"got my turn signal on,",21.78%
8,"and as I was slowing down,",14.85%
9,"there's this guy sitting over here to the right,",98.02%
10,coming on to Twenty­-four.,27.72%
11,Looked like he's about in his middle fifties.,91.09%
12,And he starts creeping out onto Twenty-four,88.12%
13,"and he's blocking off the lane,",100.00%
14,and he's heading for the same spot that I'm going.,5.94%
15,You know how you sit there and wait for the traffic to get by?,0.00%
16,Right there in the median?,0.00%
17,"This guy starts,",0.99%
18,"pulls out in the lane,",30.69%
19,"I thought ""you jerk""...",14.85%
20,but I hurried up and got in there ahead of him.,100.00%
21,And he sits there and waits on.,20.79%
22,Mean he's got Twenty­-four blocked.,55.45%
23,He's sitting there right in the middle of the highway.,59.41%
24,Got it blocked.,44.55%
25,"So we went on across as soon as traffic cleared,",23.76%
26,"and we're headed up there towards that diamond,",14.85%
27,"and it's about ... maybe mile, two miles... north of Twenty­-four on Aboite Center,",5.94%
28,"and this guy's following us see,",92.08%
29,as we're going up there this little hill right there.,14.85%
30,At Ranch Eggs.,26.73%
31,"We're going up this hill,",7.92%
32,and this guy's right on my tail.,90.10%
33,"And Lisa was with me,",50.50%
34,and she said “That guy is right on your tail!”,78.22%
35,"I looked in the mirror and sure enough he's right up there practically bumper to bumper,",20.79%
36,"and I'm trying to keep an eye on him,",0.99%
37,make sure he doesn't slam into me or anything.,0.99%
38,"He starts weaving back and forth,",100.00%
39,couldn't keep it in one lane.,88.12%
40,Really ...bad news.,3.96%
41,And all the time this is going on...,14.85%
42,I'm thinking how drunk driving is the number one killer of kids and all this business.,67.33%
43,How it's everybody's responsibility.,2.97%
44,So I was trying to make up my mind what to do.,50.50%
45,I was pretty sure he was drunk...,100.00%
46,at least he appeared that way...,97.03%
47,"so I figured that when we get up to this stop sign I'm going to go back and find out what his problem is,",43.56%
48,"'cause I'm thinking he's drunk,",20.79%
49,"and I know I oughta do something about it,",27.72%
50,"but at the same time if he's sick,",34.65%
51,"like maybe he's having a heart attack or something,",31.68%
52,you know.,5.94%
53,You gotta do something.,9.90%
54,"I'd really feel bad if I read the papers the next day that the guy,",7.92%
55,some guy died with a heart attack and there I was thinking he was drunk.,7.92%
56,And I didn't really want to get involved to be honest with you.,4.95%
57,"But I had made up my mind that I was going to,",14.85%
58,"so we pulled up to the stop at this sign,",79.21%
59,and right across the road stopped a sheriff's car.,100.00%
60,"So I motion for him to come over,",98.02%
61,"and they whip across the road,",37.62%
62,"and I got out the car,",40.59%
63,"walked over there,",29.70%
64,"and said to this deputy “This guy behind me is either sick or he's drunk,",54.46%
65,but he's got a problem.,41.58%
66,He can't keep his car on one side of the road.”,27.72%
67,And I said “He's got a definite problem...”,20.79%
68,So they started down there.,48.51%
69,"And as soon as he sees me get out of the car and walk over there to the police car,",87.13%
70,the guy stops way far away from the intersection.,73.27%
71,"He stops,",27.72%
72,"and he throws his car into reverse,",97.03%
73,and starts backing up.,27.72%
74,"When the cops went down there to check him out,",88.12%
75,he starts backing up going backwards down that road.,20.79%
76,"Pretty soon they catch up with him,",81.19%
77,"and he starts forward again,",28.71%
78,"and they make a U­-turn in the road and start following him,",81.19%
79,and he's just driving real slow and careful.,41.58%
80,Ha ha it's pretty comical...,38.61%
81,I don't know if they ever stopped him or not.,95.05%
