segment_id,segment_text,p-caught
1,My daughter died.,82.61%
2,It’ll be twenty-eight years this month.,72.83%
3,"The thirtieth of this month, yeah.",69.57%
4,She died at Methodist Hospital.,80.43%
5,She had an operation for appendicitis.,97.83%
6,"It was late Saturday afternoon when they operated, very late.",95.65%
7,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was.",92.39%
8,She was still under ether.,97.83%
9,"Back then, they used a lot of ether.",63.04%
10,There was a chair there.,80.43%
11,"They were just starting to get people out of bed, you know.",66.30%
12,"So, Victoria saw the chair,",43.48%
13,"and she said to the nurse, “What’s this chair doing here?”",75.00%
14,"The nurse said, “Well, we’ve got to get her out of bed.”",86.96%
15,"She said, “What are you talking about? She’s still under ether.”",97.83%
16,“She’s too sick.”,86.96%
17,"But the nurse said, “Well, that’s the doctor’s orders.”",85.87%
18,"So, they went to get her out of bed,",89.13%
19,"and she passed out,",97.83%
20,and they had to put her back in bed.,89.13%
21,"See, here, she never – I don’t know if they knew or what,",40.22%
22,"but I blame them for the blood clot she got, taking her out of bed.",92.39%
23,"So, when she was walking around to come home after ten days,",96.74%
24,I was waiting for the call from the hospital.,53.26%
25,I didn’t have a phone then.,95.65%
26,"The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night.",98.91%
27,"“Mrs. Costa, they just called you from the hospital.",90.22%
28,Go Pick Marie up.,89.13%
29,She’s discharged.”,41.30%
30,I had all the clothes laid out on the table.,97.83%
31,"And Rita was – I was cooking,",95.65%
32,"I said, “Rita, finish the cooking.”",93.48%
33,Daddy will be home soon.”,32.61%
34,He was working down in the yard.,20.65%
35,"I said, “And put a big pot of coffee on,” because she had been wishing for coffee.",95.65%
36,"And you know, every morning, that first cup of coffee, I offered it to her.",51.09%
37,"When I get up in the morning, the first cup is hers.",35.87%
38,"Since she’s gone, I never forget that.",22.83%
39,"So I said, “Put a pot of coffee on,",76.09%
40,and send for some cake from the bakery.”,93.48%
41,I’m going to get Marie; they called me.”,48.91%
42,"“All right, mother, go ahead,” she said, “I’ll finish up.”",11.96%
43,"And I went myself. You know, I had the coat on my arm.",88.04%
44,She was operated on in March –,20.65%
45,"No, April! So that was the thirtieth.",47.83%
46,"She was operated – ten days before, so that would be the twentieth.",17.39%
47,"The twentieth of April, right? It was kind of chilly.",36.96%
48,"Oh, and I had everything in a bag,",61.96%
49,and I had the coat on my arm and her dress hanging on my arm.,86.96%
50,"She saw me from the windows, from Wolf Street.",28.26%
51,"She said, “My mother’s just coming.”",15.22%
52,"She was with the girls, saying goodbye to everyone – you know how it is.",32.61%
53,"They told me on the phone, it would be ten dollars more for her board.",34.78%
54,And to make sure I brought her girdle to put on.,32.61%
55,"I said, “All right, I’ll be right over.”",4.35%
56,And I went.,17.39%
57,"But when I got there, the nurse said to me, “Sit down, Mrs. Costa, sit here for a while.”",97.83%
58,"So I sat down, and I was praying for another lady in the hospital that had an operation for her gall bladder.",85.87%
59,"She lived near my sister, and she had ten children.",82.61%
60,They had said she was in very bad shape.,67.39%
61,"I prayed, “Oh dear God, don’t take that mother away from her children.”",65.22%
62,"I was praying for her, you know.",7.61%
63,Then a little nurse’s aide went to the closet and got some blankets.,90.22%
64,"I started getting the chills,",81.52%
65,"and I was thinking about it,",16.30%
66,"when the aide said to the nurse, “Oh, she’s going into a cold sweat now.”",89.13%
67,"The nurse hung up the phone and came to me. She said, “Mrs. Costa, has your daughter ever had a fainting spell?”",93.48%
68,"“Oh my God!” I said, “Don’t tell me you’re running for my daughter!”",73.91%
69,"“Yes,” she said, “come on in.”",30.43%
70,"So, I went into the room.",65.22%
71,And my daughter was on the bed with her bedroom slippers and her housecoat on.,95.65%
72,"And the beads of sweat – honest to God, not to exaggerate, they were that big.",96.74%
73,It came – just poured from her –,26.09%
74,"I said, “What did you do, kill my daughter?",97.83%
75,You killed her! You killed her!”,94.57%
76,That’s what I kept yelling.,66.30%
77,"And the doctor rushed in,",71.74%
78,"see, they were trying to get the doctor, you know.",31.52%
79,She was a lady doctor.,88.04%
80,"Dr. Schwartz actually did the operation, but she was his assistant, Dr. Montique.",77.17%
81,She was a lady doctor.,80.43%
82,"So, she came in and she said –",41.30%
83,"I said, “You killed my daughter – what did you do to her?”",58.70%
84,"She said, “We don’t know what happened, Mrs. Costa.”",94.57%
85,She took me away from the bed.,14.13%
86,"The nurse said to me, “Talk to her.”",41.30%
87,"I said, “Talk to her? My daughter’s dying, what am I supposed to tell her?”",27.17%
88,And I was screaming.,65.22%
89,My hair was all pulled out.,58.70%
90,"I went hysterical, you know what I mean? She was only eighteen years old.",67.39%
91,"Beautiful girl, you can see from her picture.",10.87%
92,"And just as I turned my back, my daughter passed away.",97.83%
93,She was getting ready to go home.,51.09%
94,I had the clothes and everything ready.,16.30%
95,My husband was waiting for her.,53.26%
96,"He came home, went upstairs to shave and wash, then sat on the step, waiting.",53.26%
97,“When is the mother coming?”,41.30%
98,The hospital kept calling.,52.17%
99,The people in the office didn’t know what had happened yet.,54.35%
100,"They kept calling the store, trying to reach us.",53.26%
101,"They asked, “When is the mother coming to pick up Marie?",56.52%
102,She’s discharged.”,34.78%
103,"And Rita said “That’s strange, the mother went to the hospital. She should be there.”",36.96%
104,So they came back to the hospital to look for us.,32.61%
105,"Rita said, “Gee, that’s strange,”",33.70%
106,"she said, “Mother must’ve gotten really worked up about Marie.”",23.91%
107,"You know, I’ve always had a bad heart.",18.48%
108,"“Mother must’ve gotten so upset about Marie, she probably made herself sick,” Rita thought.",20.65%
109,"So she came over with my son-in-law, in the car.",38.04%
110,"And I was in the main hallway, at the office.",47.83%
111,I was all pulled apart.,45.65%
112,One doctor wanted to give me a shot.,53.26%
113,"I said, “Get out of here,",53.26%
114,"I’ll kick you,” I said.",56.52%
115,"“You killed my daughter, now you want to kill me?”",50.00%
116,Another nurse came over.,44.57%
117,"See, they all knew me.",21.74%
118,"I had three operations in no time, not even a year.",19.57%
119,And I knew all the nurses.,19.57%
