segment_id,segment_text,p-caught
1,"Well, I was at work one day",70.87%
2,I was doing my usual job,61.17%
3,working on the warehouse floor,85.44%
4,stocking boxes,40.78%
5,organizing merchandise,30.10%
6,I had been working for a few hours,10.68%
7,it was getting late,3.88%
8,I had been feeling a bit strange,78.64%
9,a bit lightheaded,87.38%
10,but chalked it up to hunger,66.99%
11,not having eaten yet that day,59.22%
12,"But then, as I was walking around the warehouse",16.50%
13,returning items to their proper places,4.85%
14,I started to feel a strange tightness,100.00%
15,and pressure in my chest,100.00%
16,I stopped what I was doing,22.33%
17,leaned against a nearby wall for a bit,46.60%
18,the pressure only got stronger,86.41%
19,I could feel my heart pounding in my chest,66.02%
20,"Next thing I know, I started seeing spots",64.08%
21,I could feel sweat dripping down my forehead,51.46%
22,my arms,47.57%
23,I tried to take some deep breaths,33.98%
24,I just couldn't catch my breath,58.25%
25,I was really scared,58.25%
26,didn't know what to do.,19.42%
27,Suddenly I heard a voice coming from across the warehouse.,41.75%
28,It was the manager,88.35%
29,who had seen me,95.15%
30,called out to me,56.31%
31,it seems someone had noticed me,47.57%
32,was checking to see if I was alright,38.83%
33,I tried to yell back that something was wrong,36.89%
34,I couldn't find my voice.,38.83%
35,The manager started walking towards me,42.72%
36,I could feel my world going dark,23.30%
37,I started to drop to the ground,47.57%
38,luckily the manager got to me in time,63.11%
39,caught me just before my legs gave out,62.14%
40,He took me to the staff room,100.00%
41,sat me down in a chair,80.58%
42,He asked me questions about what was wrong,55.34%
43,what happened,43.69%
44,He got me a glass of cold water,99.03%
45,told me to rest for a bit,47.57%
46,After a few minutes,73.79%
47,the pressure in my chest slowly eased up,79.61%
48,I started to feel better,85.44%
49,It turned out I had been having a panic attack,83.50%
50,I escaped from the situation,2.91%
51,the help of the quick action of the manager,36.89%
52,It was never a fun experience,55.34%
53,it really could have been much worse,47.57%
54,it taught me to check in with myself,32.04%
55,make sure to properly rest,32.04%
56,eat to avoid further episodes,25.24%
