segment_id,segment_text,real_rec,gpt4o_all,gpt4,gpt4o_idxmx
1,"Back in the days when I was a rookie in the police force, the Chief was a veteran.",87.76,98.25,100.0,88.89
2,He had caught a notorious criminal –,20.41,91.23,100.0,44.44
3,or had been awarded for bravery.,19.39,89.47,70.0,44.44
4,But he had – a young daughter.,76.53,94.74,100.0,77.78
5,And in those days I was a fitness enthusiast.,35.71,87.72,40.0,33.33
6,And it seemed she was trying to impress me.,52.04,85.96,50.0,22.22
7,I never observed it.,7.14,75.44,20.0,0.0
8,Truth is I wasn't very fond of her because she was –,19.39,64.91,60.0,0.0
9,She was a charming girl until she opened her mouth.,32.65,64.91,60.0,11.11
10,She was a chatterbox.,55.1,56.14,50.0,11.11
11,"Goodness, she could talk.",16.33,47.37,60.0,11.11
12,Then she left a message one day saying she was going to run away because he was always scolding her about me.,68.37,63.16,100.0,55.56
13,He arrived at my apartment.,43.88,49.12,100.0,0.0
14,Big intimidating look on his face.,14.29,35.09,60.0,0.0
15,I managed to calm him down.,8.16,36.84,60.0,0.0
16,and proposed “Well we'll search for her,34.69,24.56,70.0,0.0
17,and if we can't locate her well you can – do whatever you think is right.”,18.37,14.04,30.0,0.0
18,I was strategizing.,16.33,7.02,10.0,0.0
19,So he accepted my offer.,8.16,10.53,10.0,0.0
20,And we went to where they found her scarf – near a park.,58.16,8.77,80.0,0.0
21,and we traced down a little more,8.16,0.0,10.0,0.0
22,and we couldn't locate her.,21.43,10.53,70.0,0.0
23,And returned,5.1,0.0,20.0,0.0
24,– it was a police station –,15.31,0.0,10.0,0.0
25,she was sitting on a chair with a book in her hands.,82.65,15.79,80.0,22.22
26,She hadn't run away.,44.9,10.53,50.0,22.22
27,But – nevertheless – that resolved the issue for that day.,5.1,8.77,30.0,0.0
28,"But that evening the deputy, Frank Mitchell, said “You better transfer and leave because that old man never forgets anything once he gets it into his mind.”",77.55,15.79,80.0,22.22
29,And I did.,65.31,5.26,40.0,22.22
30,I transferred.,48.98,24.56,90.0,55.56
31,and left.,26.53,12.28,40.0,55.56
32,That was the end of my rookie year.,44.9,14.04,70.0,11.11
