recall_id,clause_id,segment_ids,fan_out,last_segment_id,clause_text
gpt4-1,1,[1],1,4,I was a rookie in the police force
gpt4-1,2,[1],1,4,The Chief was a veteran officer
gpt4-1,3,[2],1,4,The Chief had apprehended a notorious criminal
gpt4-1,4,[4],1,4,The Chief had a young daughter
gpt4-2,1,[1],1,11,The narrator was a rookie in the police force
gpt4-2,2,[2],1,11,The Chief was a veteran who had caught a notorious criminal
gpt4-2,3,[6],1,11,The Chief's daughter was trying to impress the narrator
gpt4-2,4,"[9, 10, 11]",3,11,The narrator found the Chief's daughter talkative
gpt4-2,5,"[9, 10, 11]",3,11,and less appealing when she spoke
gpt4-3,1,[1],1,12,The narrator was a rookie in the police force
gpt4-3,2,[1],1,12,with a veteran Chief
gpt4-3,3,[4],1,12,The Chief had a young daughter
gpt4-3,4,[6],1,12,who was trying to impress the narrator
gpt4-3,5,"[9, 10, 11]",3,12,The narrator found the Chief's daughter talkative
gpt4-3,6,[8],1,12,and less appealing when she spoke
gpt4-3,7,[12],1,12,The daughter planned to run away
gpt4-3,8,[12],1,12,due to her father's scolding about her interest in the narrator
gpt4-4,1,"[1, 3]",2,19,The Chief of Police was a decorated veteran
gpt4-4,2,[4],1,19,with a young daughter
gpt4-4,3,"[6, 9, 10, 11]",4,19,"The daughter, known for being talkative, seemed to be trying to impress the narrator"
gpt4-4,4,[12],1,19,She threatened to run away
gpt4-4,5,[12],1,19,due to her father's scolding about the narrator
gpt4-4,6,"[13, 14]",2,19,The Chief confronted the narrator
gpt4-4,7,[16],1,19,who suggested they search for her
gpt4-4,8,[17],1,19,before taking any drastic actions
gpt4-5,1,[1],1,22,The Chief of police was a decorated veteran
gpt4-5,2,"[4, 10, 11]",3,22,with a talkative young daughter
gpt4-5,3,[6],1,22,The daughter attempted to impress the narrator
gpt4-5,4,[5],1,22,a fitness enthusiast rookie officer
gpt4-5,5,[12],1,22,The daughter left a message about running away
gpt4-5,6,[12],1,22,due to her father's scolding about the narrator
gpt4-5,7,"[13, 15, 16, 17, 19]",5,22,The Chief and the narrator teamed up
gpt4-5,8,"[16, 17, 19, 20, 21]",5,22,to search for the missing daughter
gpt4-5,9,[20],1,22,starting at a park
gpt4-5,10,[20],1,22,where her scarf was found
gpt4-6,1,[4],1,27,The Chief of Police had a young daughter
gpt4-6,2,"[9, 10, 11]",3,27,who was a chatterbox
gpt4-6,3,[12],1,27,The daughter left a message
gpt4-6,4,[12],1,27,about running away
gpt4-6,5,[12],1,27,due to her father's scolding
gpt4-6,6,"[13, 14, 15]",3,27,The Chief confronted the narrator
gpt4-6,7,"[16, 17, 19]",3,27,who suggested they search for her together
gpt4-6,8,[20],1,27,They found her scarf near a park
gpt4-6,9,"[25, 26]",2,27,but eventually discovered her safe
gpt4-6,10,"[24, 25]",2,27,at the police station
gpt4-7,1,[1],1,28,The Chief of Police was a decorated veteran
gpt4-7,2,[4],1,28,with a young daughter
gpt4-7,3,"[9, 10, 11]",3,28,"The daughter, known for being talkative,"
gpt4-7,4,[12],1,28,left a message about running away
gpt4-7,5,[12],1,28,due to her father's scolding
gpt4-7,6,"[13, 16, 19]",3,28,The Chief and I searched for her
gpt4-7,7,"[24, 25]",2,28,"and found her at the police station,"
gpt4-7,8,[26],1,28,not having run away
gpt4-7,9,[28],1,28,Deputy Frank Mitchell warned me
gpt4-7,10,[28],1,28,to transfer
gpt4-7,11,[28],1,28,because the Chief never forgets
gpt4-8,1,[4],1,32,"The Chief of Police had a young, talkative daughter"
gpt4-8,2,"[5, 6, 8, 9, 10, 11]",6,32,who seemed interested in the narrator
gpt4-8,3,[12],1,32,The daughter threatened to run away
gpt4-8,4,[12],1,32,due to her father's scolding about the narrator
gpt4-8,5,"[13, 15, 16, 19]",4,32,The narrator and the Chief searched for her
gpt4-8,6,"[20, 21, 22, 23, 24, 25, 26]",7,32,"but found her at the police station, unharmed"
gpt4-8,7,"[28, 29, 30, 31]",4,32,The narrator transferred out of the department
gpt4-8,8,[28],1,32,after being warned about the Chief's unforgiving nature
