segment_id,segment_text,p-caught
1,My daughter died.,98.83%
2,It’ll be twenty-eight years this month.,63.74%
3,"The thirtieth of this month, yeah.",66.67%
4,She died at Methodist Hospital.,73.10%
5,She had an operation for appendicitis.,100.00%
6,"It was late Saturday afternoon when they operated, very late.",47.37%
7,"Sunday morning, my oldest daughter, Victoria, went to the hospital to see how she was.",70.18%
8,She was still under ether.,86.55%
9,"Back then, they used a lot of ether.",76.61%
10,There was a chair there.,32.16%
11,"They were just starting to get people out of bed, you know.",92.98%
12,"So, Victoria saw the chair,",51.46%
13,"and she said to the nurse, “What’s this chair doing here?”",50.88%
14,"The nurse said, “Well, we’ve got to get her out of bed.”",90.64%
15,"She said, “What are you talking about? She’s still under ether.”",73.10%
16,“She’s too sick.”,56.73%
17,"But the nurse said, “Well, that’s the doctor’s orders.”",69.01%
18,"So, they went to get her out of bed,",87.13%
19,"and she passed out,",74.85%
20,and they had to put her back in bed.,33.33%
21,"See, here, she never – I don’t know if they knew or what,",30.41%
22,"but I blame them for the blood clot she got, taking her out of bed.",94.15%
23,"So, when she was walking around to come home after ten days,",58.48%
24,I was waiting for the call from the hospital.,91.81%
25,I didn’t have a phone then.,29.24%
26,"The lady from the store who had a phone called me, “Mrs. Costa,” at aquarter to five at night.",89.47%
27,"“Mrs. Costa, they just called you from the hospital.",66.08%
28,Go Pick Marie up.,79.53%
29,She’s discharged.”,20.47%
30,I had all the clothes laid out on the table.,78.36%
31,"And Rita was – I was cooking,",46.78%
32,"I said, “Rita, finish the cooking.”",40.94%
33,Daddy will be home soon.”,55.56%
34,He was working down in the yard.,48.54%
35,"I said, “And put a big pot of coffee on,” because she had been wishing for coffee.",56.14%
36,"And you know, every morning, that first cup of coffee, I offered it to her.",54.97%
37,"When I get up in the morning, the first cup is hers.",52.05%
38,"Since she’s gone, I never forget that.",52.05%
39,"So I said, “Put a pot of coffee on,",53.80%
40,and send for some cake from the bakery.”,45.61%
41,I’m going to get Marie; they called me.”,50.88%
42,"“All right, mother, go ahead,” she said, “I’ll finish up.”",25.73%
43,"And I went myself. You know, I had the coat on my arm.",29.82%
44,She was operated on in March –,33.33%
45,"No, April! So that was the thirtieth.",40.35%
46,"She was operated – ten days before, so that would be the twentieth.",35.67%
47,"The twentieth of April, right? It was kind of chilly.",16.37%
48,"Oh, and I had everything in a bag,",27.49%
49,and I had the coat on my arm and her dress hanging on my arm.,25.73%
50,"She saw me from the windows, from Wolf Street.",22.81%
51,"She said, “My mother’s just coming.”",22.81%
52,"She was with the girls, saying goodbye to everyone – you know how it is.",22.22%
53,"They told me on the phone, it would be ten dollars more for her board.",21.64%
54,And to make sure I brought her girdle to put on.,21.64%
55,"I said, “All right, I’ll be right over.”",21.64%
56,And I went.,35.67%
57,"But when I got there, the nurse said to me, “Sit down, Mrs. Costa, sit here for a while.”",86.55%
58,"So I sat down, and I was praying for another lady in the hospital that had an operation for her gall bladder.",29.82%
59,"She lived near my sister, and she had ten children.",28.07%
60,They had said she was in very bad shape.,28.07%
61,"I prayed, “Oh dear God, don’t take that mother away from her children.”",28.07%
62,"I was praying for her, you know.",27.49%
63,Then a little nurse’s aide went to the closet and got some blankets.,26.90%
64,"I started getting the chills,",30.41%
65,"and I was thinking about it,",29.24%
66,"when the aide said to the nurse, “Oh, she’s going into a cold sweat now.”",31.58%
67,"The nurse hung up the phone and came to me. She said, “Mrs. Costa, has your daughter ever had a fainting spell?”",43.86%
68,"“Oh my God!” I said, “Don’t tell me you’re running for my daughter!”",65.50%
69,"“Yes,” she said, “come on in.”",44.44%
70,"So, I went into the room.",48.54%
71,And my daughter was on the bed with her bedroom slippers and her housecoat on.,60.23%
72,"And the beads of sweat – honest to God, not to exaggerate, they were that big.",47.37%
73,It came – just poured from her –,41.52%
74,"I said, “What did you do, kill my daughter?",74.27%
75,You killed her! You killed her!”,58.48%
76,That’s what I kept yelling.,67.25%
77,"And the doctor rushed in,",44.44%
78,"see, they were trying to get the doctor, you know.",43.86%
79,She was a lady doctor.,42.69%
80,"Dr. Schwartz actually did the operation, but she was his assistant, Dr. Montique.",42.69%
81,She was a lady doctor.,42.11%
82,"So, she came in and she said –",41.52%
83,"I said, “You killed my daughter – what did you do to her?”",61.40%
84,"She said, “We don’t know what happened, Mrs. Costa.”",57.31%
85,She took me away from the bed.,42.11%
86,"The nurse said to me, “Talk to her.”",44.44%
87,"I said, “Talk to her? My daughter’s dying, what am I supposed to tell her?”",47.37%
88,And I was screaming.,57.89%
89,My hair was all pulled out.,50.88%
90,"I went hysterical, you know what I mean? She was only eighteen years old.",69.59%
91,"Beautiful girl, you can see from her picture.",49.71%
92,"And just as I turned my back, my daughter passed away.",83.04%
93,She was getting ready to go home.,56.73%
94,I had the clothes and everything ready.,48.54%
95,My husband was waiting for her.,45.03%
96,"He came home, went upstairs to shave and wash, then sat on the step, waiting.",43.86%
97,“When is the mother coming?”,43.86%
98,The hospital kept calling.,43.27%
99,The people in the office didn’t know what had happened yet.,47.37%
100,"They kept calling the store, trying to reach us.",45.61%
101,"They asked, “When is the mother coming to pick up Marie?",46.78%
102,She’s discharged.”,43.86%
103,"And Rita said “That’s strange, the mother went to the hospital. She should be there.”",43.86%
104,So they came back to the hospital to look for us.,42.69%
105,"Rita said, “Gee, that’s strange,”",42.69%
106,"she said, “Mother must’ve gotten really worked up about Marie.”",43.27%
107,"You know, I’ve always had a bad heart.",42.69%
108,"“Mother must’ve gotten so upset about Marie, she probably made herself sick,” Rita thought.",44.44%
109,"So she came over with my son-in-law, in the car.",42.69%
110,"And I was in the main hallway, at the office.",42.69%
111,I was all pulled apart.,46.78%
112,One doctor wanted to give me a shot.,44.44%
113,"I said, “Get out of here,",47.37%
114,"I’ll kick you,” I said.",49.71%
115,"“You killed my daughter, now you want to kill me?”",50.88%
116,Another nurse came over.,46.20%
117,"See, they all knew me.",44.44%
118,"I had three operations in no time, not even a year.",43.86%
119,And I knew all the nurses.,43.86%
120,"“Mrs. Costa, please, take –”",47.37%
121,"“Get out!” I said, “Don’t you dare come near me.”",49.71%
122,I was so hysterical.,60.82%
123,I was banging my head against the wall and everything.,63.16%
