segment_id,segment_text,p-caught
1,"In the neighborhood I grew up in, Mrs. Baker was the resident cat lady.",100.00%
2,She had adopted at least twenty –,86.24%
3,or had given them homes.,77.06%
4,But she had – a young grandson,94.50%
5,and back then I was quite the tomboy.,69.72%
6,"And apparently, he was trying to befriend me.",91.74%
7,I never caught on.,88.07%
8,Truth is I didn't take to him much because he had –,88.07%
9,He was a charming lad until you saw his manners.,97.25%
10,He had poor manners.,97.25%
11,Goodness gracious he had poor manners.,97.25%
12,Then he left a note one day saying he was going to run away because she was always nagging about me.,94.50%
13,She came to my treehouse.,94.50%
14,Big old tabby cat in tow.,94.50%
15,I talked her down,89.91%
16,and said “Well we'll go find him,88.07%
17,"and if we can't locate him, you can – go ahead and call the police if you need to.”",69.72%
18,I was strategizing.,55.96%
19,So she took my advice.,52.29%
20,And we went to where they found his baseball cap – near the old mill,94.50%
21,and we trailed a bit more,86.24%
22,and we didn't find a trace.,94.50%
23,And returned,93.58%
24,– it was a treehouse club –,86.24%
25,he was sitting on a branch with a comic book in his hand.,93.58%
26,He hadn't run away.,88.99%
27,But – however – that resolved it for that day.,23.85%
28,"But that evening the local sheriff, Officer Dawson said “You better lay low and stay out of sight because that woman never forgets anything once she gets it into her mind.”",91.74%
29,And I did.,90.83%
30,I laid low,86.24%
31,and stayed out of sight.,89.91%
32,That was the second time.,57.80%
