recall_id,clause_id,segment_ids,fan_out,last_segment_id,clause_text
gpt4-1,1,[2],1,11,The narrator met three individuals in 1949
gpt4-1,2,[3],1,11,when starting college
gpt4-1,3,[8],1,11,They were acquainted in high school
gpt4-1,4,[7],1,11,as athletes at different schools
gpt4-1,5,[9],1,11,They enrolled in the same college after graduation
gpt4-1,6,[11],1,11,They became good friends
gpt4-1,7,[10],1,11,upon attending the same college
gpt4-2,1,"[1, 2, 3]",3,18,The narrator met three friends in college
gpt4-2,2,[2],1,18,in 1949
gpt4-2,3,"[7, 8]",2,18,They knew each other from high school athletics
gpt4-2,4,[4],1,18,before college
gpt4-2,5,"[5, 11]",2,18,They became close friends
gpt4-2,6,"[6, 9, 10]",3,18,after enrolling in the same college
gpt4-2,7,"[15, 18]",2,18,The friends enjoyed hunting
gpt4-2,8,"[16, 17]",2,18,and helping with farm chores
gpt4-2,9,"[15, 16, 17, 18]",4,18,together
gpt4-3,1,"[1, 2]",2,23,The narrator met three friends in 1949
gpt4-3,2,[3],1,23,when starting college
gpt4-3,3,"[7, 8]",2,23,They knew each other from high school
gpt4-3,4,[7],1,23,as athletes at different schools
gpt4-3,5,"[5, 11]",2,23,They became close friends
gpt4-3,6,"[6, 9, 10]",3,23,after enrolling in the same college
gpt4-3,7,"[15, 18]",2,23,The friends enjoyed hunting
gpt4-3,8,[17],1,23,and doing chores
gpt4-3,9,"[12, 15, 16, 17]",4,23,on the narrator's farm
gpt4-4,1,"[1, 2, 3]",3,34,The narrator met three friends in college
gpt4-4,2,[2],1,34,in 1949
gpt4-4,3,"[4, 7, 8]",3,34,having known them previously as high school athletes
gpt4-4,4,"[9, 10]",2,34,After enrolling in the same college
gpt4-4,5,"[5, 11]",2,34,they became good friends
gpt4-4,6,"[15, 16, 18]",3,34,and often engaged in outdoor activities together
gpt4-4,7,[12],1,34,"The narrator, a farm kid"
gpt4-4,8,"[13, 15, 26, 27]",4,34,hosted his city friends for hunting trips
gpt4-4,9,"[19, 23]",2,34,despite not enjoying hunting himself
gpt4-4,10,"[24, 25]",2,34,Years into their friendship
gpt4-4,11,"[28, 29]",2,34,the group planned a bear hunting trip to Canada
gpt4-4,12,"[30, 31, 32, 33]",4,34,which the narrator reluctantly agreed to join
gpt4-5,1,"[1, 2, 3]",3,39,The narrator met three friends in college
gpt4-5,2,[2],1,39,in 1949
gpt4-5,3,"[4, 7, 8]",3,39,having known them previously as high school athletes
gpt4-5,4,[13],1,39,"The friends, who lived in the city"
gpt4-5,5,"[12, 15, 26]",3,39,enjoyed visiting the narrator's farm
gpt4-5,6,"[15, 18, 27]",3,39,to hunt
gpt4-5,7,"[16, 17]",2,39,and help with chores
gpt4-5,8,[20],1,39,"The narrator, accustomed to the outdoors"
gpt4-5,9,"[18, 19, 22, 23]",4,39,participated in hunting activities
gpt4-5,10,[23],1,39,to maintain camaraderie
gpt4-5,11,"[19, 21, 35]",3,39,despite a lack of personal interest
gpt4-5,12,"[24, 25, 28]",3,39,Several years into their friendship
gpt4-5,13,[29],1,39,the group planned a bear hunting trip in Canada
gpt4-5,14,"[30, 31, 32, 33, 34, 39]",6,39,which the narrator reluctantly agreed to join
gpt4-6,1,"[1, 3, 9, 10, 11]",5,45,The narrator met three friends in college
gpt4-6,2,[2],1,45,in 1949
gpt4-6,3,"[4, 7, 8]",3,45,having known them previously as high school athletes
gpt4-6,4,"[14, 15, 18, 25, 27]",5,45,The friends bonded over hunting trips
gpt4-6,5,"[12, 16, 17, 26]",4,45,and outdoor activities on the narrator's farm
gpt4-6,6,"[19, 35, 36]",3,45,Despite not enjoying hunting
gpt4-6,7,"[23, 31, 32, 33, 38, 39]",6,45,the narrator participated to maintain the friendship
gpt4-6,8,"[28, 29, 30, 40, 41, 42, 43, 44, 45]",9,45,The group planned a bear hunting trip to Canada
gpt4-6,9,"[30, 31, 32, 33, 34, 38, 39]",7,45,which the narrator reluctantly joined
gpt4-7,1,"[1, 2, 3, 9, 10]",5,52,The narrator met three friends in college
gpt4-7,2,"[7, 8]",2,52,who shared a history as high school athletes
gpt4-7,3,"[12, 15, 18, 26, 27]",5,52,The friends bonded over hunting trips at the narrator's farm
gpt4-7,4,"[19, 21, 23, 35]",4,52,despite his lack of enthusiasm for hunting
gpt4-7,5,[29],1,52,The group decided to go bear hunting in Canada
gpt4-7,6,"[30, 31, 32, 33, 34, 39]",6,52,which the narrator reluctantly agreed to join
gpt4-7,7,[40],1,52,They traveled by plane
gpt4-7,8,[43],1,52,canoe
gpt4-7,9,"[44, 46, 47]",3,52,and on foot
gpt4-7,10,"[41, 42, 45, 48]",4,52,to reach a remote cabin in the Canadian wilderness
gpt4-8,1,"[7, 11]",2,64,The narrator became friends with three high school athletes
gpt4-8,2,"[3, 9, 10]",3,64,when they all attended the same college after graduation
gpt4-8,3,"[15, 18, 26, 27]",4,64,The friends enjoyed hunting on the narrator's farm
gpt4-8,4,"[19, 20, 21, 23, 35]",5,64,while the narrator was less enthusiastic about the activity
gpt4-8,5,[29],1,64,The group decided to go bear hunting in Canada
gpt4-8,6,"[30, 31, 32, 33, 34, 39, 50]",7,64,which the narrator reluctantly agreed to despite his apprehension
gpt4-8,7,"[41, 42, 43, 44, 45, 46, 47, 48]",8,64,Upon reaching the remote cabin in the Canadian woods
gpt4-8,8,[57],1,64,none of the friends were eager to hunt
gpt4-8,9,"[58, 59, 60, 61, 63]",5,64,and instead spent days playing cards and resting
gpt4-9,1,"[1, 5, 7, 11]",4,74,The narrator became friends with three high school athletes
gpt4-9,2,"[3, 9, 10]",3,74,when they all attended the same college after graduation
gpt4-9,3,"[12, 15, 16, 17, 18, 26, 27]",7,74,The friends often visited the narrator's farm for hunting and chores
gpt4-9,4,"[19, 20, 21, 22, 23]",5,74,enjoying the outdoor activities more than the narrator did
gpt4-9,5,"[28, 29]",2,74,The group decided to go bear hunting in Canada
gpt4-9,6,"[30, 31, 32, 33, 34, 35, 36, 37]",8,74,and despite his reluctance
gpt4-9,7,"[31, 32, 33, 38, 39]",5,74,the narrator joined them on the trip
gpt4-9,8,"[40, 41, 42, 43, 44, 45, 46, 47, 48]",9,74,Once at the remote cabin in Canada
gpt4-9,9,"[56, 57, 63]",3,74,none of the friends were eager to hunt bears
gpt4-9,10,"[58, 59, 60, 61, 62, 64, 65, 66]",8,74,so they spent days playing cards and staying indoors
gpt4-10,1,"[7, 11]",2,79,The narrator became friends with three high school athletes
gpt4-10,2,"[9, 10]",2,79,when they attended the same college after graduation
gpt4-10,3,"[15, 18, 26, 27]",4,79,The friends enjoyed hunting on the narrator's farm
gpt4-10,4,"[19, 23, 35]",3,79,although the narrator was less enthusiastic about the activity
gpt4-10,5,[29],1,79,The group decided to go bear hunting in Canada
gpt4-10,6,"[31, 33, 39]",3,79,"and despite his reluctance, the narrator joined them"
gpt4-10,7,"[56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67]",12,79,After several days in a cabin without hunting
gpt4-10,8,"[76, 77]",2,79,they agreed that the person who drew the high card would hunt a bear
gpt4-10,9,[77],1,79,and the narrator drew it
gpt4-11,1,"[1, 2, 3, 10]",4,85,The narrator met three friends in college
gpt4-11,2,[7],1,85,all of whom were former high school athletes
gpt4-11,3,"[12, 15, 18, 26, 27]",5,85,The friends bonded over hunting trips at the narrator's farm
gpt4-11,4,"[19, 20, 21, 23, 35]",5,85,despite his lack of interest in hunting
gpt4-11,5,[29],1,85,They planned a bear hunting trip to Canada
gpt4-11,6,"[31, 32, 33, 34, 39]",5,85,which the narrator reluctantly joined
gpt4-11,7,"[41, 42, 43, 44, 45, 46, 47, 48]",8,85,After reaching a remote cabin in Canada
gpt4-11,8,"[56, 57, 63]",3,85,none of them were eager to hunt
gpt4-11,9,"[76, 77, 80]",3,85,but the narrator drew the high card
gpt4-11,10,"[77, 78, 79, 81, 82, 83, 84]",7,85,and had to go bear hunting alone
gpt4-12,1,"[3, 10, 11, 13]",4,95,The narrator became friends with three city guys in college
gpt4-12,2,"[4, 7, 8]",3,95,after knowing them as high school athletes
gpt4-12,3,"[15, 18, 22, 26, 27]",5,95,The friends enjoyed hunting on the narrator's farm
gpt4-12,4,"[19, 21, 35]",3,95,despite the narrator's lack of interest in hunting
gpt4-12,5,[29],1,95,The group decided to go bear hunting in Canada
gpt4-12,6,"[41, 42, 44, 45, 47, 48]",6,95,where they rented a cabin in the remote woods
gpt4-12,7,"[56, 57, 58]",3,95,After days of reluctance
gpt4-12,8,"[76, 77, 78]",3,95,they agreed that one person
gpt4-12,9,[76],1,95,chosen by drawing cards
gpt4-12,10,"[77, 83, 84]",3,95,would hunt a bear
gpt4-12,11,"[80, 82]",2,95,the narrator drew the high card
gpt4-13,1,"[7, 11]",2,105,The narrator became friends with three high school athletes
gpt4-13,2,"[3, 9, 10]",3,105,when they all attended the same college after graduation
gpt4-13,3,"[15, 18, 26, 27]",4,105,The friends enjoyed hunting on the narrator's farm
gpt4-13,4,"[19, 23, 35]",3,105,despite the narrator's lack of interest in hunting
gpt4-13,5,[29],1,105,The group decided to go bear hunting in Canada
gpt4-13,6,"[41, 42, 44, 45, 47, 48, 54]",7,105,where they stayed in a cabin
gpt4-13,7,"[57, 63]",2,105,but were hesitant to actually hunt
gpt4-13,8,"[80, 82, 83]",3,105,"The narrator, reluctantly chosen to hunt a bear"
gpt4-13,9,"[88, 90]",2,105,encountered one
gpt4-13,10,"[93, 94, 95]",3,105,but forgot to load his gun
gpt4-13,11,"[97, 99, 100, 101, 104]",5,105,leading to a chase
gpt4-13,12,[],0,105,that ended with the bear trapped in the cabin
gpt4-14,1,"[1, 7, 11]",3,118,The narrator became friends with three high school athletes
gpt4-14,2,"[3, 9, 10]",3,118,when they attended the same college after graduation
gpt4-14,3,"[12, 15, 18, 26, 27]",5,118,The friends enjoyed hunting on the narrator's farm
gpt4-14,4,"[19, 23, 35]",3,118,despite the narrator's lack of interest in the activity
gpt4-14,5,[29],1,118,The group decided to go bear hunting in Canada
gpt4-14,6,"[30, 31, 32, 33, 34]",5,118,and after some reluctance
gpt4-14,7,"[31, 33, 39]",3,118,the narrator joined the trip
gpt4-14,8,"[48, 53, 54, 56, 67]",5,118,During the bear hunt
gpt4-14,9,"[76, 80, 82, 83]",4,118,the narrator was chosen to hunt a bear
gpt4-14,10,"[86, 88, 89, 90]",4,118,encountered one
gpt4-14,11,"[94, 99, 106, 107, 110, 111, 112, 113, 114, 115, 116]",11,118,but ended up trapping it in the cabin instead of shooting it
gpt4-15,1,"[1, 7, 11]",3,122,The narrator became friends with three high school athletes
gpt4-15,2,"[3, 9, 10]",3,122,when they attended the same college after graduation
gpt4-15,3,"[12, 15, 18, 26, 27]",5,122,The friends enjoyed hunting on the narrator's farm
gpt4-15,4,"[19, 23, 35]",3,122,despite the narrator's lack of interest in the activity
gpt4-15,5,[29],1,122,The group decided to go bear hunting in Canada
gpt4-15,6,"[30, 32, 33, 34]",4,122,and after some reluctance
gpt4-15,7,"[31, 39]",2,122,the narrator joined the trip
gpt4-15,8,"[48, 53, 54, 56, 67, 68]",6,122,During the bear hunt
gpt4-15,9,[80],1,122,"the narrator, who drew the high card"
gpt4-15,10,[90],1,122,encountered a bear
gpt4-15,11,"[93, 94, 95]",3,122,but forgot to load his gun
gpt4-15,12,"[97, 99, 100, 101, 102, 103, 104, 105]",8,122,leading to a chase
gpt4-15,13,"[106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117]",12,122,that ended with the bear trapped in their cabin
