segment_id,segment_text,p-caught
1,"Let me share a story from when I was twenty-two years old, just fresh out of college.",99.07%
2,I was staying in a small town about five miles from here.,25.93%
3,I had just started my first job at a local bookstore.,100.00%
4,"It was a quiet afternoon, and I was alone in the store.",39.81%
5,"My grandpa, who had been bedridden for almost a year, was at home with my sister.",100.00%
6,"She had to care for him daily, as he couldn't move around on his own.",99.07%
7,"There were only two of us siblings, my sister and me.",4.63%
8,My parents had gone out of town for the weekend.,74.07%
9,"As I was shelving books, I suddenly heard a voice inside my head.",100.00%
10,"It said, ""If you go to the old church down the street and light a candle for your grandpa, he will get better.""",99.07%
11,"I looked around the bookstore, but no one was there.",27.78%
12,"I continued with my work, trying to ignore the voice.",28.70%
13,"It spoke to me again, repeating the same message.",68.52%
14,"I looked around once more, but still found no one.",12.04%
15,I decided to take a break and walk to the church.,98.15%
16,"I was only a short distance away, maybe a quarter-mile.",6.48%
17,"As I approached the church, I hesitated for a moment.",29.63%
18,I was not a particularly religious person.,98.15%
19,I remembered my grandma always saying that prayers from a sincere heart could bring miracles.,30.56%
20,"On the other hand, she also said that prayers without faith were useless.",20.37%
21,I admitted to myself that I was far from being a saint.,12.96%
22,I had my share of mistakes and misdeeds.,11.11%
23,I thought about my grandpa and how much he meant to our family.,0.00%
24,"Finally, I went inside the church and found a candle.",81.48%
25,I knelt down in front of the altar.,67.59%
26,"I said, ""God, I don't know how to pray properly.",32.41%
27,But I am asking you with all my heart to heal my grandpa.,98.15%
28,"Please help him regain his strength and guide us in taking care of him.""",90.74%
29,"After saying my prayer, I returned to the bookstore.",46.30%
30,"I resumed my work, shelving books.",2.78%
31,"Suddenly, I felt a strong urge to go home.",59.26%
32,It was as if something was pulling me towards the house.,10.19%
33,I didn't hear any voice this time.,10.19%
34,It was just an overwhelming feeling that I needed to go.,14.81%
35,I locked up the store and rushed home.,45.37%
36,"To my surprise, I found my grandpa sitting in the living room, talking to my sister.",100.00%
37,He hadn't been able to leave his bed for months without assistance.,56.48%
38,My sister told me that he had suddenly felt a surge of energy and was able to stand up and walk.,21.30%
39,That day marked the beginning of his recovery.,89.81%
40,He gradually regained his strength and independence.,36.11%
41,It was a turning point in our lives.,51.85%
42,We became more grateful for the time we had together.,22.22%
43,I often thought back to that day in the church.,40.74%
44,I wondered if my prayer had anything to do with my grandpa's recovery.,43.52%
45,"I couldn't be sure, but it definitely changed my perspective on faith and the power of prayer.",94.44%
46,My grandpa lived for many more years after that incident.,78.70%
47,He celebrated his ninetieth birthday surrounded by family and friends.,25.00%
48,We cherished every moment we had with him.,54.63%
49,That experience happened almost twenty years ago.,6.48%
50,It remains a vivid memory in my mind.,9.26%
51,"My grandpa passed away a few years later, but his spirit lives on in our hearts.",0.93%
52,"Sometimes, when I'm feeling lost or uncertain, I think back to that day.",2.78%
53,I remember the power of faith and the miracles it can bring.,34.26%
54,"And I am reminded that we are never truly alone, even when it seems like we are.",1.85%
