recall_id,clause_id,clause_text
5f305d059a58b14b23eeccb8,1,A 22yr old girl fresh out of college worked in her family's bookstore.
5f305d059a58b14b23eeccb8,2,She had 1 sister & a grandpa who was bedridden for months.
5f305d059a58b14b23eeccb8,3,Her parents were out of town for the weekend.
5f305d059a58b14b23eeccb8,4,Her sister was the only one home with grandpa while the girl worked at the bookstore.
5f305d059a58b14b23eeccb8,5,Suddenly she heard a voice in her head while shelving books.
5f305d059a58b14b23eeccb8,6,That she must go to the church down the road & light a candle and say a prayer for her grandpa to get well.
5f305d059a58b14b23eeccb8,7,She ended up closing the store.
5f305d059a58b14b23eeccb8,8,She went to the church & did just that.
5f305d059a58b14b23eeccb8,9,After returning to the bookstore she felt an urge to go home.
5f305d059a58b14b23eeccb8,10,She found her grandpa full of energy & well.
5f305d059a58b14b23eeccb8,11,Her sister told her that her grandpa suddenly got up & felt better.
5f305d059a58b14b23eeccb8,12,He got better since that day & lived to an old age.
5f305d059a58b14b23eeccb8,13,When times are tough even though its been over 20yrs ago now the girl still thinks of that moment.
6032903277ccb729ab92972d,1,It was a story about a man
6032903277ccb729ab92972d,2,who after college went to work in a bookstore.
6032903277ccb729ab92972d,3,"He lived with his sister, grandfather and parents."
6032903277ccb729ab92972d,4,"One weekend when his parents were away,"
6032903277ccb729ab92972d,5,he was working his regular shift at the bookstore
6032903277ccb729ab92972d,6,when he heard a voice tell him to light a candle
6032903277ccb729ab92972d,7,and it would heal his sickely grandfather who was bedridden.
6032903277ccb729ab92972d,8,After his shift he left the bookstore
6032903277ccb729ab92972d,9,and went to the church
6032903277ccb729ab92972d,10,where he lit a candle
6032903277ccb729ab92972d,11,and prayed.
6032903277ccb729ab92972d,12,Shortly after he got a phone call from his sister
6032903277ccb729ab92972d,13,that their grandfather had gotten out of bed
6032903277ccb729ab92972d,14,and was energetic.
6032903277ccb729ab92972d,15,Over the months the grandfather got better
6032903277ccb729ab92972d,16,and lived to be over 90 years old before he passed away.
6032903277ccb729ab92972d,17,The man often wonders if his prayer was the cause
6032903277ccb729ab92972d,18,that healed his grandfather of sickness.
61109e59e55dc2f6bf8b2ea9,1,A person was reflecting on a time when they were working in a bookstore after college
61109e59e55dc2f6bf8b2ea9,2,and got the feeling to go pray
61109e59e55dc2f6bf8b2ea9,3,and light a candle for their grandpa in a nearby church
61109e59e55dc2f6bf8b2ea9,4,because he was bedridden
61109e59e55dc2f6bf8b2ea9,5,and needed to be taken care of by the person's sister.
61109e59e55dc2f6bf8b2ea9,6,The person wasn't very religious
61109e59e55dc2f6bf8b2ea9,7,but still went to pray anyway
61109e59e55dc2f6bf8b2ea9,8,then went back to work.
61109e59e55dc2f6bf8b2ea9,9,They then got a feeling to go home
61109e59e55dc2f6bf8b2ea9,10,and when they did they saw their grandpa out if bed
61109e59e55dc2f6bf8b2ea9,11,and in the living room.
61109e59e55dc2f6bf8b2ea9,12,He then started to get better and better
61109e59e55dc2f6bf8b2ea9,13,and regain his strength.
61109e59e55dc2f6bf8b2ea9,14,He lived for a few more years
61109e59e55dc2f6bf8b2ea9,15,and celebrated his 90th birthday with family and friends.
61109e59e55dc2f6bf8b2ea9,16,The person telling the story still remembered that day
61109e59e55dc2f6bf8b2ea9,17,and valued the power of faith and prayer more after that experience.
5ea5da26b447b8458c6270e6,1,"Twenty-two years old, fresh out of college."
5ea5da26b447b8458c6270e6,2,Started a new job at a bookstore.
5ea5da26b447b8458c6270e6,3,Sister was looking after grandpa.
5ea5da26b447b8458c6270e6,4,I heard a voice which said to go the the church and light a candle and pray for him.
5ea5da26b447b8458c6270e6,5,I then heard it again.
5ea5da26b447b8458c6270e6,6,"I went at lunch, it was only a short walk, about quarter of a mile."
5ea5da26b447b8458c6270e6,7,I went inside the church and lit a candle.
5ea5da26b447b8458c6270e6,8,"I prayed to God, please help my grandpa, I am asking with all my heart please help him get better."
5ea5da26b447b8458c6270e6,9,I returned to work.
5ea5da26b447b8458c6270e6,10,I got an overwhelming feeling to go home.
5ea5da26b447b8458c6270e6,11,It wasn't a voice this time.
5ea5da26b447b8458c6270e6,12,Just an overwhelming feeling urging me to go.
5ea5da26b447b8458c6270e6,13,I locked up the store and went home.
5ea5da26b447b8458c6270e6,14,"To my surprise, there was my grandpa in the living room, sitting on a chair talking to my sister."
5ea5da26b447b8458c6270e6,15,He hadn't been out of bed for months.
5ea5da26b447b8458c6270e6,16,From that day my grandpa continued his recovery.
5ea5da26b447b8458c6270e6,17,He lived many more years.
5ea5da26b447b8458c6270e6,18,We cherished that time we had together.
5ea5da26b447b8458c6270e6,19,I often think back to that day and think did God really hear me and help.
