segment_id,segment_text,p-caught
1,My best friend pushed me into the lake.,94.44%
2,This happened during our annual summer camping trip,95.37%
3,and we were enjoying a peaceful afternoon.,54.63%
4,"The reason it all began,",2.78%
5,she spotted a frog near the water's edge or,83.33%
6,- this was at our favorite spot in the woods -,40.74%
7,and she dared me to catch it.,100.00%
8,I had just sat down to eat my sandwich,75.93%
9,and I told her I wasn't interested.,97.22%
10,"'Course friends, y'know, they don't always take no for an answer.",42.59%
11,So that's when she snuck up behind me,100.00%
12,and gave me a little nudge.,99.07%
13,"When I emerged from the water, there was a frog on the shore,",100.00%
14,she just scooped it up,97.22%
15,and handed it to me.,95.37%
16,And . . .; I couldn't help but laugh – uncontrollably.,100.00%
17,"And naturally, the first thing to do was to get revenge,",87.96%
18,"and I said, ""Just you wait,"" I said, ""you'll get yours soon enough.""",97.22%
