segment_id,segment_text,p-caught
1,My best friend pushed me into the pool.,97.14%
2,"This happened during my cousin's wedding reception,",96.19%
3,where everyone was dressed to impress.,63.81%
4,"And the reason it happened,",22.86%
5,"she spotted a bee hovering near my face,",93.33%
6,- this was at a fancy hotel garden -,65.71%
7,and she tried to save me from being stung.,86.67%
8,"And my aunt had just handed me a glass of champagne,",91.43%
9,and I warned her to be careful.,40.95%
10,"'Course friends, y'know, they don't always think things through.",34.29%
11,"So that's when she gave me a little shove,",98.10%
12,and I tumbled into the water.,88.57%
13,"When I resurfaced, gasping for air,",92.38%
14,"she just started laughing,",94.29%
15,and she apologized profusely.,90.48%
16,"And... my beautiful dress was ruined,",81.90%
17,"and naturally, the first thing to do was to get out and dry off,",59.05%
18,"and my cousin just says, ""Just about a few inches more,"" she says, ""and you'd have landed on the cake.""",70.48%
