recall_id,clause_id,segment_ids,fan_out,last_segment_id,clause_text
gpt4-1,1,[1],1,3,A month ago
gpt4-1,2,[1],1,3,the narrator was preparing
gpt4-1,3,[1],1,3,to attend a church league softball game
gpt4-1,4,[2],1,3,The games were scheduled
gpt4-1,5,[2],1,3,to take place
gpt4-1,6,[2],1,3,at the diamond
gpt4-1,7,[2],1,3,at Homestead High School
gpt4-2,1,[1],1,20,We were driving to a church league softball game
gpt4-2,2,[2],1,20,at Homestead High School
gpt4-2,3,[1],1,20,about a month ago
gpt4-2,4,"[6, 8]",2,20,I was slowing down to turn
gpt4-2,5,[5],1,20,at Ranch Eggs
gpt4-2,6,[7],1,20,with my turn signal on
gpt4-2,7,[11],1,20,A man in his middle fifties
gpt4-2,8,"[10, 12]",2,20,started creeping onto Highway Twenty-four
gpt4-2,9,[13],1,20,blocking the lane
gpt4-2,10,[20],1,20,I quickly maneuvered into the lane ahead of the man
gpt4-2,11,[20],1,20,to avoid an incident
gpt4-3,1,[1],1,24,We were driving to a church league softball game
gpt4-3,2,[2],1,24,at Homestead High School
gpt4-3,3,[1],1,24,about a month ago
gpt4-3,4,"[6, 8]",2,24,I was slowing down to turn
gpt4-3,5,[5],1,24,at Ranch Eggs
gpt4-3,6,[7],1,24,with my turn signal on
gpt4-3,7,"[9, 10, 11, 12]",4,24,A man in his middle fifties started creeping onto Highway Twenty-four
gpt4-3,8,"[13, 22, 23, 24]",4,24,blocking the lane
gpt4-3,9,[20],1,24,I managed to get ahead of him
gpt4-3,10,"[22, 23, 24]",3,24,but he remained blocking the highway
gpt4-4,1,[1],1,32,The narrator was driving to a church league softball game
gpt4-4,2,[2],1,32,at Homestead High School
gpt4-4,3,"[4, 5]",2,32,While turning onto Twenty-four near Ranch Eggs
gpt4-4,4,"[9, 11]",2,32,the narrator encountered a man in his fifties obstructing traffic
gpt4-4,5,"[10, 17, 18]",3,32,The man in the other vehicle started to pull out
gpt4-4,6,"[12, 13, 22, 23, 24]",5,32,blocking the lane
gpt4-4,7,[19],1,32,and causing frustration for the narrator
gpt4-4,8,[],0,32,Despite the traffic issue
gpt4-4,9,"[20, 25]",2,32,the narrator managed to proceed
gpt4-4,10,"[28, 29, 31, 32]",4,32,with the man following closely behind
gpt4-5,1,[1],1,40,The narrator was driving to a church league softball game
gpt4-5,2,[2],1,40,at Homestead High School
gpt4-5,3,"[4, 5]",2,40,While turning onto Highway Twenty-four
gpt4-5,4,"[9, 11, 12, 13, 14]",5,40,a man in his fifties began to block traffic
gpt4-5,5,[12],1,40,by creeping into the lane
gpt4-5,6,[20],1,40,The narrator managed to get ahead of the man
gpt4-5,7,"[22, 23, 24]",3,40,who continued to block the highway
gpt4-5,8,"[28, 32]",2,40,The man followed the narrator closely
gpt4-5,9,"[32, 34, 35]",3,40,tailgating
gpt4-5,10,"[38, 39]",2,40,and weaving between lanes
gpt4-6,1,[1],1,43,The narrator was driving to a church league softball game
gpt4-6,2,[2],1,43,at Homestead High School
gpt4-6,3,"[9, 10, 11]",3,43,A man in his fifties began to pull onto the highway
gpt4-6,4,"[12, 13, 22, 23, 24]",5,43,blocking traffic
gpt4-6,5,[14],1,43,and aiming for the same turn
gpt4-6,6,"[19, 20]",2,43,The narrator managed to turn ahead of the man
gpt4-6,7,"[28, 29, 32, 34, 35]",5,43,who continued to follow closely behind their vehicle
gpt4-6,8,"[38, 39]",2,43,The man exhibited erratic driving behavior
gpt4-6,9,"[38, 39]",2,43,weaving in the lane
gpt4-6,10,"[32, 35, 37]",3,43,and tailgating the narrator's car
gpt4-7,1,[1],1,53,The narrator was driving to a church league softball game
gpt4-7,2,[2],1,53,at Homestead High School
gpt4-7,3,"[11, 13]",2,53,A man in his fifties blocked traffic
gpt4-7,4,"[4, 10, 12]",3,53,by creeping onto Highway Twenty-four
gpt4-7,5,"[5, 6, 7, 8]",4,53,while the narrator was turning
gpt4-7,6,"[28, 32, 34, 35]",4,53,The man followed the narrator closely
gpt4-7,7,"[38, 39]",2,53,weaving back and forth
gpt4-7,8,"[45, 46]",2,53,as if impaired
gpt4-7,9,"[44, 47]",2,53,The narrator contemplated confronting the man
gpt4-7,10,[47],1,53,at a stop sign
gpt4-7,11,"[45, 46, 50, 51]",4,53,suspecting intoxication or a medical issue
gpt4-8,1,[1],1,59,The narrator was driving to a church league softball game
gpt4-8,2,[2],1,59,at Homestead High School
gpt4-8,3,"[9, 10, 11, 12]",4,59,when a middle-aged man began to pull onto the highway
gpt4-8,4,"[13, 22, 23, 24]",4,59,blocking traffic
gpt4-8,5,"[28, 32, 34, 35]",4,59,The man followed the narrator closely
gpt4-8,6,"[38, 39]",2,59,driving erratically
gpt4-8,7,"[45, 46]",2,59,and appearing to be under the influence
gpt4-8,8,"[42, 43, 44]",3,59,The narrator contemplated the responsibility to act
gpt4-8,9,"[45, 46, 48]",3,59,if the man was drunk
gpt4-8,10,"[50, 51]",2,59,or potentially having a medical emergency
gpt4-8,11,[58],1,59,Upon reaching a stop sign
gpt4-8,12,[59],1,59,the narrator noticed a sheriff's car stopped across the road
gpt4-9,1,[1],1,68,The narrator was driving to a church league softball game
gpt4-9,2,"[11, 19, 45, 46]",4,68,and encountered a man in his fifties driving erratically
gpt4-9,3,"[13, 22, 23, 24]",4,68,The man blocked traffic on Highway Twenty-four
gpt4-9,4,"[28, 32, 35, 38, 39]",5,68,"and followed the narrator closely, weaving between lanes"
gpt4-9,5,[44],1,68,The narrator debated whether to confront the man
gpt4-9,6,"[45, 46, 50, 51]",4,68,suspecting he was either drunk or having a medical emergency
gpt4-9,7,[58],1,68,Upon reaching a stop sign
gpt4-9,8,[59],1,68,and seeing a sheriff's car
gpt4-9,9,"[60, 62, 63, 64, 65, 66, 67]",7,68,the narrator reported the man's erratic driving to a deputy
gpt4-10,1,"[1, 2, 26, 27]",4,73,The narrator was driving to a softball game
gpt4-10,2,"[9, 10, 11, 12, 13, 14, 22, 23, 24]",9,73,and encountered a man in his fifties driving erratically
gpt4-10,3,"[12, 13, 22, 23, 24]",5,73,potentially blocking traffic
gpt4-10,4,"[28, 29, 32, 33, 34, 35]",6,73,The man followed the narrator closely
gpt4-10,5,"[38, 39]",2,73,weaving between lanes
gpt4-10,6,"[42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56]",15,73,leading the narrator to suspect he was either drunk or experiencing a medical emergency
gpt4-10,7,"[47, 58]",2,73,At a stop sign
