recall_id,#clauses,n,segment_ids,text
82,1,0,[],my laptop froze
62,3,7,"[5, 13, 19, 22, 23, 24, 30]",You jerk Ranch eggs Got twenty four blocked
9,5,8,"[4, 42, 13, 45, 48, 22, 23, 24]",All I can remember is drink driving number 24 he was blocking with his car and that drink driving is the main cause of driving related deaths
77,3,8,"[1, 4, 26, 27, 28, 29, 30, 31]",On a sunny day the church baseball league went up the 24th at Meadowview.
73,10,15,"[1, 2, 68, 9, 42, 45, 46, 47, 16, 50, 19, 51, 54, 55, 58]",Some guy was going somewhere. Homestead and he was driving and there was a guy in the median but he thought the guy was drunk but what if he wasn't drunk and had a heart attack and the guy didn't want to hear on the news that he thought drunk guy was actually heart attack guy so he went back to check and lots of other words...omg
58,16,16,"[1, 33, 4, 5, 36, 39, 10, 43, 44, 14, 47, 20, 53, 24, 27, 30]","About a month ago, Well, we are going twenty-four, Coming on to twenty-four, and he's lending for the same place, I am hurried, got in the waits, got it blocked, there maybe a mile or two, at ranch eggs, and Lisa was with me, and I'm trying to keep, couldn't keep in lane, how it's everybody's responsibility, so I figured it out, you gotta do something, he's gotta go."
43,9,19,"[1, 5, 11, 13, 22, 23, 24, 28, 30, 32, 35, 45, 46, 50, 51, 54, 55, 59, 68]","Some people went to see a league softball game. A guy in his 50s came and blocked, I presume, some traffic. It was linked to ranch eggs. Then the guy was near them, bumper to bumper. A driver thought he was drunk and was worried he may get a heart attack. A police car is then seen."
78,16,19,"[28, 32, 35, 44, 45, 46, 47, 49, 50, 51, 53, 54, 56, 57, 58, 59, 60, 63, 64]","A lady was walking down the road and saw a guy following her [she] was not sure if he was drunk or sick and she made up her mind to approach him to ask what his problem was and just as she was about to do that, a sheriff's car stopped the guy and she told the sheriff to check on the guy if he's sick or drunk and she was scared in case he's sick and having a heart attack and dies if she can hear this the following day about it, then she would really feel bad knowing she could have done something about [it]."
80,8,19,"[1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 38, 39, 42, 43, 59, 64, 65, 66]",Four people decided to attend a softball game This writer comes across a drunk man This lady could sense something was off about him Whilst she was driving She came across a sheriff car She informed them that the man was either very sick or very drunk The lady then recalled How much drink driving impacts drivers and victims
83,16,20,"[1, 2, 3, 4, 5, 9, 12, 17, 25, 26, 28, 30, 33, 34, 35, 38, 40, 45, 46, 51]","We were going to a church league soft ball game scheduled at Homestead High School. You know where that is? We are going to Twenty Four, and also going at Ranch eggs getting ready. There is this guy seated on the right. On the median, the guy starts. So we went across as soon as traffic cleared we headed towards diamond. The guy kept following us. I was with Lisa and she said ""that guy is on your tail."" I looked in the mirror. The guy seemed like he was drunk but he was having a heart attack."
