recall_id,clause_id,segment_ids,fan_out,last_segment_id,clause_text
gpt4-1,1,"[1, 2]",2,3,The narrative is about recalling a church league softball game scheduled at Homestead High School about a month ago.
gpt4-2,1,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 18]",12,20,"The narrator describes an incident where a man in his fifties pulled out into traffic, blocking the narrator's lane while they were slowing down to turn."
gpt4-3,1,"[4, 5, 7, 9, 11, 12, 13, 14, 22, 23, 24]",11,24,The narrator is describing a traffic incident where a man in his fifties blocked a lane on the highway while the narrator was turning.
gpt4-4,1,"[1, 4, 5, 6, 7, 9, 12, 13, 14, 18, 19, 20, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",23,32,The narrator is describing a traffic incident with an inconsiderate driver while on the way to a church league softball game.
gpt4-5,1,"[1, 4, 5, 7, 9, 12, 13, 14, 19, 22, 23, 24, 28, 32, 34, 35, 36, 38]",18,40,The narrator describes a frustrating encounter with an inconsiderate driver while on the way to a softball game.
gpt4-6,1,"[1, 4, 5, 7, 9, 12, 13, 14, 18, 19, 20, 22, 23, 24, 25, 28, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]",26,43,The narrator describes a dangerous driving incident involving an erratic driver while on the way to a church league softball game.
gpt4-7,1,"[28, 32, 34, 35, 36, 37, 38, 39, 45, 46, 48]",11,53,The narrator describes an encounter with a potentially drunk driver who was following them closely and driving erratically.
gpt4-8,1,"[4, 5, 6, 7, 8, 9, 12, 13, 14, 19, 22, 23, 24, 28, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 53, 54, 55, 56, 57, 58]",41,59,The narrator recounts a driving incident where they suspected another driver of being drunk or ill and contemplated intervening.
gpt4-9,1,"[4, 5, 6, 7, 8, 9, 12, 13, 14, 19, 20, 22, 23, 24, 28, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68]",52,68,The narrator describes an encounter with a potentially drunk or ill driver and decides to report it to a sheriff's deputy.
gpt4-10,1,"[4, 5, 6, 7, 8, 9, 12, 13, 14, 19, 20, 22, 23, 24, 28, 31, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 53, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73]",53,73,The narrator describes an encounter with a potentially drunk or sick driver while on the way to a softball game and ultimately decides to report the driver to a sheriff.
gpt4-11,1,"[4, 5, 6, 7, 8, 9, 12, 13, 14, 19, 22, 23, 28, 31, 32, 33, 34, 35, 36, 37, 38, 39, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79]",59,81,The narrator recounts an incident where they suspected a driver of being drunk or ill due to erratic driving and reported it to a sheriff.
