recall_id,#clauses,n,segment_ids,text
5b0d39f4641b1200010ef716,13,12,"[2, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18]","I was on my annual summer camping trip with my best friend. I was sat eating my sandwich when she dared me to catch a frog. I said I wasn't interested so she came behind me and gave me a nudge into the water and I fell in. When I emerged from the walk there was a frog on the shore, my friend just handed it to me and laughed. I laughed as well but planned my revenge and told her to ""just wait, you'll get yours soon enough"""
5b70ae85bd1fa100017ab163,14,12,"[1, 2, 3, 5, 6, 7, 8, 11, 12, 16, 17, 18]","My friend pushed me into the lake during a peaceful afternoon of our annual summer break. We were in a clearing in the woods by the lake shore and I'd been about to eat my sandwich and she saw a frog at the side of the lake and wanted me to get it and when I moved towards the lake she pushed me in. I couldn't help but laugh uncontrollably and swore to get revenge on her ""Just wait, you'll get yours!"""
5cc9bc7031164b00011997fa,16,12,"[1, 2, 5, 8, 9, 11, 12, 13, 14, 15, 16, 18]","My best friend pushed me in to a lake. It was on our annual camping trip. She saw a frog by the shore but I didn't want to look at it because I wanted to eat my sandwich. When I was crouched down she came up behind me and gave me a nudge. I went in the water. When I emerged there was a frog on the shoreline. She scooped it up and handed it to me. I started to laugh uncontrollable and said ""Just you wait"" and ""you'll get yours"" about revenge."
5f1587d28ee50f036977fe26,9,12,"[1, 2, 5, 7, 9, 11, 12, 14, 15, 16, 17, 18]","Her and her mate were on their annual summer trip at a summer camp by the water. Whilst they were eating their lunch her mate dared her to catch a frog that was on the edge of the water. However, they just wanted to eat so said no. The friend decided to give her a little nudge towards the water. In which she fell in. The friend then picked up the frog. And handed it to her friend who was now covered in water. They both were laughing hysterically. And the mate that was soaking said she would get her revenge."
60460afa467ff102d3c5b9f6,5,12,"[1, 5, 7, 8, 9, 10, 11, 12, 13, 14, 17, 18]","a friend pushed the other friend in to the water, trying to catch a frog. The friend was sitting down eating a sandwich but the other friend could not take a no for an answer. The other friend promised to revenge."
609252692568228b9e5399b0,12,12,"[1, 3, 6, 8, 11, 12, 13, 14, 15, 16, 17, 18]","My friend pushed me into the lake. There was a frog on the side of the lake and this was our favourite game in the world. I had just sat down to eat my sandwich when she came up behind me and pushed me into the lake. When I got out of the lake, I found her by the shore waiting holding the frog in her hands. I told her that I was going to get my revenge and I just laughing uncontrollably."
60a3cb60b3e2bdb82a865197,7,12,"[1, 2, 6, 7, 8, 9, 11, 12, 13, 16, 17, 18]",She was sitting at their favourite spot in the woods at their annual summer camp. After she had just sat down to eat her sandwich her best friend asked her to catch the frog. Upon her refusal her friend then gave her a little nudge into the pond. When she emerged she laughed and promised to get even with her friend.
60bbac6c8f57c38f1b834e80,10,12,"[1, 2, 5, 7, 8, 11, 12, 13, 14, 16, 17, 18]",My best friend pushed me into the lake. This happened at our annual summer camp. She saw a frog and wanted it and I had just sat down to eat my sandwich. When I submerged from the water I saw her scooping the frog and I couldn't help but laugh and get my revenge. I said to her just wait you will get yours coming.
64622d2f98e7fa08557b536c,10,12,"[1, 3, 4, 5, 6, 9, 10, 11, 12, 13, 16, 18]","My best friend and I were by the lake, she saw a frog by the edge of the water and I told her to leave it. Because friends sometimes don't take no for an answer, she snuck up behind me and pushed me in. When I got out of the water she was laughing uncontrollably and I laughed too and told her ""Just wait your turn""."
6474a4b973909ba4745f59df,15,12,"[1, 5, 6, 7, 8, 10, 11, 12, 13, 16, 17, 18]","My best friend pushed me into the lake. I'll tell you how it all began. We were sitting by the edge of the lake-our favorite spot in the woods, when my friend saw a frog on the water. Get it! She said. No way! I answered. But- you know friends, they don't always take no for an answer. So she gave me a nudge. When I came up from the water there was a frog sitting on the shore. And I couldn't help but laugh- uncontrollably. Just you wait, I said, your turn will come!"
