segment_id,segment_text,real_p_caught,gpt4o_emulated_p_caught,diff,abs_diff
9,and I told her I wasn't interested.,54,95,-41,41
10,"'Course friends, y'know, they don't always take no for an answer.",39,4,35,35
6,- this was at our favorite spot in the woods -,39,12,27,27
16,And . . .; I couldn't help but laugh – uncontrollably.,61,87,-26,26
17,"And naturally, the first thing to do was to get revenge,",66,87,-21,21
2,This happened during our annual summer camping trip,80,100,-20,20
7,and she dared me to catch it.,80,100,-20,20
3,and we were enjoying a peaceful afternoon.,39,58,-19,19
13,"When I emerged from the water, there was a frog on the shore,",81,62,19,19
1,My best friend pushed me into the lake.,86,100,-14,14
15,and handed it to me.,51,62,-11,11
18,"and I said, ""Just you wait,"" I said, ""you'll get yours soon enough.""",76,87,-11,11
5,she spotted a frog near the water's edge or,67,75,-8,8
4,"The reason it all began,",12,4,8,8
12,and gave me a little nudge.,93,100,-7,7
14,she just scooped it up,72,66,6,6
8,I had just sat down to eat my sandwich,62,58,4,4
11,So that's when she snuck up behind me,92,95,-3,3
