recall_id,clause_id,segment_ids,fan_out,last_segment_id,clause_text
gpt4-1,1,[1],1,3,My best friend pushed me into the lake
gpt4-1,2,[2],1,3,This occurred during our annual summer camping trip
gpt4-1,3,[3],1,3,We were enjoying a peaceful afternoon
gpt4-2,1,[1],1,10,My best friend pushed me into the lake
gpt4-2,2,[2],1,10,This occurred during our annual summer camping trip
gpt4-2,3,[3],1,10,We were enjoying a peaceful afternoon
gpt4-2,4,"[5, 7]",2,10,She spotted a frog and dared me to catch it
gpt4-2,5,[8],1,10,I had just sat down to eat my sandwich and declined
gpt4-2,6,[10],1,10,Friends don't always take no for an answer
gpt4-3,1,[1],1,12,My best friend pushed me into the lake
gpt4-3,2,[2],1,12,This occurred during our annual summer camping trip
gpt4-3,3,[3],1,12,We were enjoying a peaceful afternoon
gpt4-3,4,[7],1,12,She spotted a frog and dared me to catch it
gpt4-3,5,[8],1,12,I had just sat down to eat my sandwich and declined
gpt4-3,6,[10],1,12,Friends don't always take no for an answer
gpt4-3,7,"[11, 12]",2,12,She snuck up behind me and nudged me into the water
gpt4-4,1,[1],1,16,My best friend pushed me into the lake
gpt4-4,2,[2],1,16,This occurred during our annual summer camping trip
gpt4-4,3,[7],1,16,She spotted a frog and dared me to catch it
gpt4-4,4,[8],1,16,I had just sat down to eat my sandwich and declined
gpt4-4,5,"[11, 12]",2,16,She snuck up behind me and nudged me into the water
gpt4-4,6,"[13, 14, 15]",3,16,"Upon emerging, a frog was on the shore which she handed to me"
gpt4-4,7,[16],1,16,I laughed uncontrollably after the incident
gpt4-5,1,[1],1,18,My best friend pushed me into the lake
gpt4-5,2,[2],1,18,This occurred during our annual summer camping trip
gpt4-5,3,[5],1,18,She spotted a frog
gpt4-5,4,[7],1,18,and dared me to catch it
gpt4-5,5,[11],1,18,She snuck up behind me
gpt4-5,6,[12],1,18,and nudged me into the water
gpt4-5,7,[13],1,18,"Upon emerging, a frog was on the shore"
gpt4-5,8,[15],1,18,which she handed to me
gpt4-5,9,[16],1,18,I laughed uncontrollably after the incident
gpt4-5,10,[17],1,18,I vowed to get revenge
gpt4-5,11,[18],1,18,and warned her of it
