segment_id,segment_text,p-caught
1,Let me share a story from when I was twenty-one years old.,99.01%
2,I was living in a small apartment near the city center.,98.02%
3,I had just started my first job.,100.00%
4,And uh I was working as a graphic designer.,100.00%
5,"My father, who was recovering from a surgery, hadn't been out in – in uh – well I'd say about eight months.",100.00%
6,He had to use a wheelchair to get around.,99.01%
7,"The only person there with him during the day was a kind neighbor, a lady in her sixties.",100.00%
8,My younger sister was away at college –,37.62%
9,so it was just my dad and the neighbor lady at home during the day.,98.02%
10,"One day, I got this strong feeling while I was at work.",100.00%
11,"It told me: ""If you go to the nearby park during your lunch break and pray for your father's recovery, he'll start to improve.""",100.00%
12,I looked around my office.,5.94%
13,I didn't see anyone nearby.,0.00%
14,"So, I went to the park during my break",92.08%
15,and found a quiet spot there.,43.56%
16,That feeling came back again.,1.98%
17,I looked around once more.,0.00%
18,I still didn't see anyone nearby,0.00%
19,but I decided to take a chance.,0.00%
20,"I wasn't too far from my office, maybe a ten-minute walk.",43.56%
21,I found a bench to sit on and closed my eyes – uh – uh –,98.02%
22,that feeling came back once more.,0.00%
23,I just took a deep breath.,0.00%
24,I was sitting under a big oak tree now.,100.00%
25,I looked up at the branches above me.,0.00%
26,Nobody was around.,0.00%
27,"And uh I said to myself, well now,",0.00%
28,I had been taught that prayers can make a difference.,21.78%
29,And that it doesn't hurt to try.,19.80%
30,"I knew I wasn't perfect, but I wanted to help my dad.",13.86%
31,I'd admit that to anyone.,0.99%
32,But I was willing to give it a try.,19.80%
33,I looked around one more time,0.00%
34,and then I closed my eyes,97.03%
35,and said a quiet prayer.,96.04%
36,"I whispered, ""God, I don't know if you're listening.",54.46%
37,But I ask you to please help my father recover.,96.04%
38,"So he can regain his independence and enjoy life again.""",80.20%
39,I opened my eyes,2.97%
40,and went back to work.,76.24%
41,"Suddenly, I received a text message from my father.",100.00%
42,"It said, ""I just took a few steps with my walker.""",100.00%
43,I – I couldn't believe it.,0.99%
44,It felt like a sign that my prayer had been heard.,5.94%
45,I rushed home after work,100.00%
46,and saw my father standing in the living room with the help of his walker.,100.00%
47,He hadn't been able to do that in months without assistance.,0.99%
48,"And there he was, taking small steps.",47.52%
49,That was the turning point in his recovery.,97.03%
50,He continued to improve,78.22%
51,and regained most of his mobility within a year.,70.30%
52,"It's been, what, six or seven years since then?",62.38%
53,My father is now able to walk without any assistance.,99.01%
54,"He's living life to the fullest, even in his seventies.",25.74%
