segment_id,segment_text,p-caught
1,"Well, I was at work one day",22.00%
2,I was doing my usual job,51.00%
3,working on the warehouse floor,89.00%
4,stocking boxes,77.00%
5,organizing merchandise,51.00%
6,I had been working for a few hours,17.00%
7,it was getting late,13.00%
8,I had been feeling a bit strange,38.00%
9,a bit lightheaded,64.00%
10,but chalked it up to hunger,54.00%
11,not having eaten yet that day,54.00%
12,"But then, as I was walking around the warehouse",16.00%
13,returning items to their proper places,19.00%
14,I started to feel a strange tightness,100.00%
15,and pressure in my chest,100.00%
16,I stopped what I was doing,5.00%
17,leaned against a nearby wall for a bit,31.00%
18,the pressure only got stronger,31.00%
19,I could feel my heart pounding in my chest,75.00%
20,"Next thing I know, I started seeing spots",100.00%
21,I could feel sweat dripping down my forehead,86.00%
22,my arms,64.00%
23,I tried to take some deep breaths,50.00%
24,I just couldn't catch my breath,69.00%
25,I was really scared,8.00%
26,didn't know what to do.,1.00%
27,Suddenly I heard a voice coming from across the warehouse.,73.00%
28,It was the manager,74.00%
29,who had seen me,82.00%
30,called out to me,78.00%
31,it seems someone had noticed me,12.00%
32,was checking to see if I was alright,4.00%
33,I tried to yell back that something was wrong,45.00%
34,I couldn't find my voice.,56.00%
35,The manager started walking towards me,91.00%
36,I could feel my world going dark,6.00%
37,I started to drop to the ground,17.00%
38,luckily the manager got to me in time,92.00%
39,caught me just before my legs gave out,98.00%
40,He took me to the staff room,96.00%
41,sat me down in a chair,88.00%
42,He asked me questions about what was wrong,39.00%
43,what happened,36.00%
44,He got me a glass of cold water,100.00%
45,told me to rest for a bit,28.00%
46,After a few minutes,71.00%
47,the pressure in my chest slowly eased up,93.00%
48,I started to feel better,40.00%
49,It turned out I had been having a panic attack,83.00%
50,I escaped from the situation,1.00%
51,the help of the quick action of the manager,33.00%
52,It was never a fun experience,12.00%
53,it really could have been much worse,6.00%
54,it taught me to check in with myself,71.00%
55,make sure to properly rest,81.00%
56,eat to avoid further episodes,72.00%
