segment_id,segment_text,p-caught
1,Let me share a story from when I was twenty-one years old.,100.00%
2,I was living in a small apartment near the city center.,100.00%
3,I had just started my first job.,97.59%
4,And uh I was working as a graphic designer.,100.00%
5,"My father, who was recovering from a surgery, hadn't been out in – in uh – well I'd say about eight months.",100.00%
6,He had to use a wheelchair to get around.,100.00%
7,"The only person there with him during the day was a kind neighbor, a lady in her sixties.",100.00%
8,My younger sister was away at college –,100.00%
9,so it was just my dad and the neighbor lady at home during the day.,86.14%
10,"One day, I got this strong feeling while I was at work.",100.00%
11,"It told me: ""If you go to the nearby park during your lunch break and pray for your father's recovery, he'll start to improve.""",100.00%
12,I looked around my office.,0.00%
13,I didn't see anyone nearby.,0.00%
14,"So, I went to the park during my break",99.40%
15,and found a quiet spot there.,99.40%
16,That feeling came back again.,0.00%
17,I looked around once more.,0.00%
18,I still didn't see anyone nearby,0.00%
19,but I decided to take a chance.,1.20%
20,"I wasn't too far from my office, maybe a ten-minute walk.",0.00%
21,I found a bench to sit on and closed my eyes – uh – uh –,22.29%
22,that feeling came back once more.,0.00%
23,I just took a deep breath.,0.00%
24,I was sitting under a big oak tree now.,19.28%
25,I looked up at the branches above me.,0.00%
26,Nobody was around.,0.00%
27,"And uh I said to myself, well now,",0.00%
28,I had been taught that prayers can make a difference.,13.25%
29,And that it doesn't hurt to try.,13.25%
30,"I knew I wasn't perfect, but I wanted to help my dad.",13.25%
31,I'd admit that to anyone.,0.60%
32,But I was willing to give it a try.,9.04%
33,I looked around one more time,0.00%
34,and then I closed my eyes,13.86%
35,and said a quiet prayer.,100.00%
36,"I whispered, ""God, I don't know if you're listening.",0.00%
37,But I ask you to please help my father recover.,24.10%
38,"So he can regain his independence and enjoy life again.""",16.27%
39,I opened my eyes,0.00%
40,and went back to work.,0.00%
41,"Suddenly, I received a text message from my father.",100.00%
42,"It said, ""I just took a few steps with my walker.""",100.00%
43,I – I couldn't believe it.,98.19%
44,It felt like a sign that my prayer had been heard.,4.82%
45,I rushed home after work,74.70%
46,and saw my father standing in the living room with the help of his walker.,96.99%
47,He hadn't been able to do that in months without assistance.,3.61%
48,"And there he was, taking small steps.",70.48%
49,That was the turning point in his recovery.,100.00%
50,He continued to improve,34.94%
51,and regained most of his mobility within a year.,35.54%
52,"It's been, what, six or seven years since then?",0.00%
53,My father is now able to walk without any assistance.,100.00%
54,"He's living life to the fullest, even in his seventies.",30.12%
